global_compound_id,source,source_compound_id,source_smiles,source_name,canonical_smiles,standard_inchikey,structure_parse_status
CMP_G001187,S3_P450Rdb,577,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C=O,Glycyrrhetaldehyde,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C=O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,OTKNPGBTQXVJNH-DQOTWGJISA-N,ok
CMP_G001188,S1_RCSB,122,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](Br)C2,,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](Br)C2,OTOQMOVZIUGCQE-MRTMQBJTSA-N,ok
CMP_G001189,S2_ESIBank,285,N[C@@H](Cc1ccc(O)cc1)C(=O)O,,N[C@@H](Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-QMMMGPOBSA-N,ok
CMP_G001189,S3_P450Rdb,89,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,L-Tyrosine,N[C@@H](Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-QMMMGPOBSA-N,ok
CMP_G001189,S8_PlantP450DB,117,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,L-tyrosine,N[C@@H](Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-QMMMGPOBSA-N,ok
CMP_G001189,S9_PCPD,168,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,tyrosine,N[C@@H](Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-QMMMGPOBSA-N,ok
CMP_G001190,S3_P450Rdb,1234,O=C(O)C(N)CC1=CC=C(O)C=C1,L-Tyrosine,NC(Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-UHFFFAOYSA-N,ok
CMP_G001190,S3_P450Rdb,411,C1=CC(=CC=C1CC(C(=O)O)N)O,L-tyrosine,NC(Cc1ccc(O)cc1)C(=O)O,OUYCCCASQSFEME-UHFFFAOYSA-N,ok
CMP_G001191,S3_P450Rdb,1033,OC(C)CC(C)CC(C)CC,"(2R,4R,6R)-4,6-Dimethyl-2-octanol",CCC(C)CC(C)CC(C)O,OVVDTMHBELPPCQ-UHFFFAOYSA-N,ok
CMP_G001192,S3_P450Rdb,401,CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2)C)C(=O)O)[O-])C)O)CO)O,proatranorin II,Cc1cc(OC(=O)c2c(C)cc(O)c(CO)c2O)c(C)c([O-])c1C(=O)O,OWDMCBYTWXMTNI-UHFFFAOYSA-M,ok
CMP_G001193,S3_P450Rdb,710,CC[C@@H]1[C@@H](/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]2[C@@H]([C@H](C[C@H](O2)C)N(C)C)O)C)C)C,Narbomycin,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,OXFYAOOMMKGGAI-JLTOUBQASA-N,ok
CMP_G001194,S3_P450Rdb,708,CCC1C(C=CC(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC2C(C(CC(O2)C)N(C)C)O)C)C)C,"6-[4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-3,5,7,9,13-pentamethyl-1-oxacyclotetradec-11-ene-2,4,10-trione",CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)CC(C)C(=O)C=CC1C,OXFYAOOMMKGGAI-UHFFFAOYSA-N,ok
CMP_G001195,S1_RCSB,58,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@H]1C,OXFYAOOMMKGGAI-ZMIJTAGNSA-N,ok
CMP_G001196,S3_P450Rdb,731,CC1CC1C2=CC=CC=C2,(2-Methylcyclopropyl)benzene,CC1CC1c1ccccc1,OXZUHSZKOFUBFW-UHFFFAOYSA-N,ok
CMP_G001197,S3_P450Rdb,460,CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-],"(9Z,12Z)-Octadecadienoate",CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-],OYHQOLUKZRVURQ-HZJYTTRNSA-M,ok
CMP_G001197,S9_PCPD,124,CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-],"(9Z,12Z)-Octadecadienoate",CCCCC/C=C\C/C=C\CCCCCCCC(=O)[O-],OYHQOLUKZRVURQ-HZJYTTRNSA-M,ok
CMP_G001198,S2_ESIBank,20,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,ok
CMP_G001198,S3_P450Rdb,661,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,"(9Z,12Z)-octadeca-9,12-dienoic acid",CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,ok
CMP_G001198,S8_PlantP450DB,75,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,linoleic acid,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,ok
CMP_G001199,S3_P450Rdb,565,CCCCCC=CCC=CCCCCCCCC(=O)[O-],"(9Z,12Z)-octadecadienoate",CCCCCC=CCC=CCCCCCCCC(=O)[O-],OYHQOLUKZRVURQ-UHFFFAOYSA-M,ok
CMP_G001200,S2_ESIBank,101,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(CO)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(CO)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,OYONPFUYHNGECE-UBWAPJCPSA-N,ok
