Compound,Compound CID,Compound SID,Compound formula,Compound CAS,Compound smiles
"(1S,4E,8E,10S)-4,8-dimethyl-13-methylidene-11-oxabicyclo[8.3.0]trideca-4,8-dien-12-one",,,,C15H20O2,C1/C(/C)=C/[C@H]2[C@H](C(=C)C(O2)=O)CC/C(=C/C1)/C
Hirsuteine,,,,C22H26N2O2,[H][C@@]1(C[C@@]2(C3=C(CCN2C[C@@]1(C=C)[H])C1C(=CC=CC=1)N3)[H])/C(=C\C)/C(=O)OC
Hirsutine,,,,C22H28N2O2,[H][C@@]1(C[C@@]2(C3=C(CCN2C[C@@]1(CC)[H])C1C(=CC=CC=1)N3)[H])/C(=C\C)/C(=O)OC
Lupeol,,,,C31H54O,C([C@@H](C)O)C[C@](C)1C(C(C)C)CC[C@](C)2[C@](C)3C(CCC12)C1[C@H](C(=C)C)CC[C@@]1(CC3)C
Betulin,,,,C32H56O2,C([C@@H](C)O)C[C@](C)1C(C(C)C)CC[C@](C)2[C@](C)3C(CCC12)C1[C@H](C(=C)C)CC[C@@]1([C@@H](CO)C3)C
Erythrodiol,,,,C31H52O2,[C@@H](O)1CC[C@@](C)2C3CC=C4C5[C@](C)(CC[C@@](C)(C)C5)[C@@H](CO)C[C@]4([C@]3(C)CCC2[C@]1(C)C)C
N-Methylcoclaurine,,,,C18H23NO3,C1=C(O)C=CC(CC2N(C)CCC3C=C(OC)C(O)=CC23)=C1
3-dehydroxy-andrographoide,,,,C20H30O4,[H][C@@]1([C@](C)2[C@]([H])(CCC1=C)[C@](CO)(CCC2)C)C/C=C1/C(=O)OC[C@H]/1O
19-hydroxy-ent-copalol,,,,C20H34O2,[H][C@@]1([C@](C)2[C@]([H])(CCC1=C)[C@](CO)(CCC2)C)CC/C(/C)=C/CO
"ent-8(17),13-diene-15,16,19-triol",,,,C20H34O3,[H][C@@]1([C@](C)2[C@]([H])(CCC1=C)[C@](CO)(CCC2)C)CC/C(/CO)=C/CO
"ent-labda-8(17),13-dien-15,19-diol-16-enal",,,,C20H32O3,[H][C@@]1([C@](C)2[C@]([H])(CCC1=C)[C@](CO)(CCC2)C)CC/C(/C=O)=C/CO
"(2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)-1-(hexahydropyridin-1-yl)penta-2,4-dien-1-one",,,,C17H19NO3,O=C(/C=C/C=C/C1C=C2C(=CC=1)OCO2)N1CCCCC1
7-demethylsuberosin,,,,C14H14O3,O1C(C=CC2=CC(=C(C=C12)O)C/C=C(\C)/C)=O
"(1S,3E,5R,10E,11S,14S,15R,16S)-5-hydroxy-9,13,14-trimethyl-16-(2-methylpropyl)-17-azatricyclo[13.3.0.01,11]octadeca-3,9,12-triene-2,18-dione",,,,C24H35NO3,O[C@H]1/C=C/C(=O)[C@@]23C(N[C@H]([C@@H]2[C@H](C)C(=C[C@@H]3/C=C(\C)/CCC1)C)CC(C)C)=O
"4,6-dihydroxy-2-(hydroxymethyl)-3-methylbenzene-1-carbaldehyde",,,,C9H10O4,[H]C(C1C(CO)=C(C)C(=CC=1O)O)=O
Germacrene A acid,,,,C15H22O2,OC(C(=C)[C@H]1C/C=C(/CC/C=C(/CC1)\C)\C)=O
4-oxobedfordia acid,,,,C15H22O3,O=C(C)CC/C1/[C@H](CC[C@@H](C(=C)C(=O)O)C\C=1)C
Tomentosin,,,,C15H20O3,O=C(C)CC/C1/[C@H](C[C@@H]2[C@H](C\C=1)C(=C)C(O2)=O)C
(+)-bicyclogermacrene,,,,C15H24,C/C1/CC/C=C(/CC[C@H]2C(C)(C)[C@H]2/C=1)\C
"(1S,2S,11S,12S,14R,15R,16S,20R)-14-hydroxy-2,6,6,12,16,20-hexamethyl-19-methylidene-7,13,17,22-tetraoxaheptacyclo[9.7.3.112,15.01,15.02,11.014,20.05,10]docosa-4,9-diene-8,18-dione",,,,C25H28O7,[C@@]123O[C@]4(O[C@]1(O)[C@@](C)1C[C@@]44[C@](C)(CC=C5C4=CC(OC5(C)C)=O)[C@]2(C1=C)C(=O)O[C@H]3C)C
Beta-Ionone,,,,C13H20O,O=C(C)/C=C/C1[C@@](C)(CCCC=1C)C
"2-[({2-[(1S,11S,28S,42S)-8-[(1Z)-ethylidene]-20,42-dihydroxy-11-[(1R)-1-hydroxyethyl]-51-methyl-3,10,13,31,41,48-hexaoxo-2,9,12,22,33,49,52,53,54,55-decaza-40-oxa-6,16,26,30,45-pentathianonacyclo[26.15.6.232,38.144,47.124,27.14,7.114,17.034,50.018,23]pentapentaconta-4(5),7(55),14(15),17(54),18(23),19,21,24(25),27(53),32(51),34(35),36,38(50),44(52),46-pentadecaen-21-yl]-1,3-thiazol-4-yl}carbonyl)amino]prop-2-enamide",,,,C51H43N13O12S6,N1/C(/C2SC=C(C(N[C@H]3C[C@@H](C(OCC4C5C(C)=C(C(SC[C@@H](C6SC=C(C7C(C8SC=C(C(N[C@H](C1=O)[C@@H](C)O)=O)N=8)=CC(=C(C1SC=C(C(=O)NC(=C)C(=O)N)N=1)N=7)O)N=6)NC(C1=CSC3=N1)=O)=O)NC=5C=CC=4)=O)O)=O)N=2)=C\C
"5Alpha-acetoxy-4,20-ene",,,,C7H12O2,O(C(C)=O)[C@H](C(=C)C)C
"2-[(1S)-1-hydroxy-3-methylbut-2-enyl]benzene-1,4-diol",,,,C11H14O3,OC1C=CC(=CC=1[C@H](/C=C(/C)\C)O)O
"2-[(1S)-1-hydroxyprop-2-enyl]benzene-1,4-diol",,,,C9H10O3,OC1C=CC(=CC=1[C@H](C=C)O)O
"(3S,5R,8E,12R,13R,16S)-5,9,12,13,16-pentamethyl-4-oxatricyclo[10.3.1.03,5]hexadeca-1(15),8-dien-2-one",,,,C20H30O2,O1[C@@H]2C(=O)C3[C@@H](C)[C@@](C)([C@@H](CC=3)C)CC/C(/C)=C/CC[C@@]12C
"(3S,5R,8E,12R,13R)-5,9,12,13-tetramethyl-16-methylidene-4-oxatricyclo[10.3.1.03,5]hexadeca-1(15),8-dien-2-one",,,,C20H28O2,O1[C@@H]2C(=O)C3C(=C)[C@@](C)([C@@H](CC=3)C)CC/C(/C)=C/CC[C@@]12C
"3-{6-[(2Z,5R,7S)-5,7-dimethylnon-2-en-2-yl]-5-methyl-3,4,5,6-tetrahydro-2H-pyran-2-yl}-4-hydroxy-5-(4-hydroxyphenyl)-1-methyl-1,2-dihydropyridin-2-one",,,,C29H41NO4,C([H])(/C(=C\C[C@H](C)C[C@@H](C)CC)/C)1C([H])(CCC(C2=C(C(C3C=CC(=CC=3)O)=CN(C)C2=O)O)([H])O1)C
"3-{6-[(2Z,5R,7S)-5,7-dimethylnon-2-en-2-yl]-5-methyl-3,4,5,6-tetrahydro-2H-pyran-2-yl}-4-hydroxy-5-(1-hydroxy-4-oxocyclohexyl)-1-methyl-1,2-dihydropyridin-2-one",,,,C29H44NO5,C([H])(/C(=C\C[C@H](C)C[C@@H](C)CC)/C)1C([H])(CCC(C2=C(C(C(O)3CCC(CC3)=O)=CN(C)C2=O)O)([H])O1)C
,,,2899263-88-6,C17H22BrNO,O=C(N(CC=CC1CC1)CC=2C=CC=CC2)C(Br)(C)C
,,,2983492-22-2,C18H18N2O8S2,O=C1NC2C(=O)N3OC4C(O)C=CC(O)C4(O)CC13SSC2C=5C=CC=C(O)C5O
,,,2983492-23-3,C19H20N2O9S2,O=C1NC2C(=O)N3OC4C(O)C=CC(O)C4(O)CC13SSC2C5=CC=C(OC)C(O)=C5O
,,,2983492-26-6,C18H16N2O6S2,O=C1NC2C(=O)N3OC4C(=CC=CC4O)CC13SSC2C=5C=CC=C(O)C5O
,,,2983492-27-7,C19H18N2O7S2,O=C1NC2C(=O)N3OC4C(=CC=CC4O)CC13SSC2C5=CC=C(OC)C(O)=C5O
,,,2983492-28-8,C20H20N2O7S2,O=C1NC2C(=O)N3OC4C(=CC=CC4O)CC13SSC2C5=CC=C(OC)C(OC)=C5O
,,,2983492-35-7,C19H16N2O8S2,O=C1NC23OC4=C(O)C(OC)=CC=C4C3SSC15N(OC6C(O)C=CC7OC76C5)C2=O
,,,2983492-36-8,C20H18N2O7S2,O=C1NC23OC4=C(OC)C(OC)=CC=C4C3SSC15N(OC6C(=CC=CC6O)C5)C2=O
,,,2983492-37-9,C20H18N2O8S2,O=C1NC23OC4=C(OC)C(OC)=CC=C4C3SSC15N(OC6C(O)C=CC7OC76C5)C2=O
,,,2983492-45-9,C18H16N2O7S2,O=C1NC2C(=O)N3OC4C(=CC=CC4O)CC13SSC2C5=CC=C(O)C(O)=C5O
,,,2983492-46-0,C18H18N2O9S2,O=C1NC2C(=O)N3OC4C(O)C=CC(O)C4(O)CC13SSC2C5=CC=C(O)C(O)=C5O
,,,2983492-51-7,C18H14N2O6S2,O=C1NC23OC=4C(O)=CC=CC4C3SSC15N(OC6C(=CC=CC6O)C5)C2=O
,,,2983492-52-8,C19H16N2O7S2,O=C1NC23OC4=C(O)C(OC)=CC=C4C3SSC15N(OC6C(=CC=CC6O)C5)C2=O
,,,2983492-66-4,C18H14N2O7S2,O=C1NC23OC4=C(O)C(O)=CC=C4C3SSC15N(OC6C(=CC=CC6O)C5)C2=O
,,,2983492-79-9,C19H18N2O8S2,O=C1NC2C(=O)N3OC4C(O)C=CC5OC54CC13SSC2C6=CC=C(OC)C(O)=C6O
"(1S,4R,5S,10S,11R,12R,14S,15S)-19-ethyl-15-hydroxy-5-methyl-18-methylideneheptacyclo[12.2.2.25,9.09,11.01,12.04,11.010,16]icosan-19-yl",,,,C24H33O,[H][C@]12CC[C@@]34C5[C@@H]6[C@]1(C61CCC[C@@]2(C)C[C]1CC)[C@@]3(C[C@@H](C(=C)C4)[C@@H]5O)[H]
"(4S,6R,8R)-4,6,8-Trimethyldecanoic acid",,,881994-90-7,C13H26O2,O=C(O)CCC(C)CC(C)CC(C)CC
"(2R,4R,6R)-1-Chloro-2,4,6-trimethyloctane",,,911819-46-0,C11H23Cl,ClCC(C)CC(C)CC(C)CC
3-Chloropropyl benzeneacetate,,,80638-94-4,C11H13ClO2,O=C(OCCCCl)CC=1C=CC=CC1
seco-Cryptophycin 4 SNAC-thioester,,,924905-98-6,C39H53N3O8S,O=C(C=CCC(O)C(C=CC=1C=CC=CC1)C)NC(C(=O)NCC(C(=O)OC(C(=O)SCCNC(=O)C)CC(C)C)C)CC2=CC=C(OC)C=C2
3-Methyl-O-(methyl-d3)-D-tyrosine,,,924906-21-8,C11H12D3NO3,O=C(O)C(N)CC1=CC=C(OC)C(=C1)C
3-Fluoro-O-(methyl-d3)-D-tyrosine,,,924906-19-4,C10H9D3FNO3,O=C(O)C(N)CC1=CC=C(OC)C(F)=C1
"(alphaR)-alpha-Amino-1,3-benzodioxole-2,2-d2-5-propanoic acid",,,924906-20-7,C10H9D2NO4,O=C(O)C(N)CC1=CC=C2OCOC2=C1
N-Methyl-D-leucyl-D-tyrosyl-L-asparaginyl-(2R)-2-(4-hydroxyphenyl)glycyl-(2R)-2-(4-hydroxyphenyl)glycylthio-L-tyrosine,,,847549-75-1,C45H53N7O11S,O=C(N)CC(NC(=O)C(NC(=O)C(NC)CC(C)C)CC1=CC=C(O)C=C1)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)S)CC2=CC=C(O)C=C2)C3=CC=C(O)C=C3)C4=CC=C(O)C=C4
"N-Benzoyl-cis-2,6-dimethylpiperidine",,,17037-71-7,C14H19NO,O=C(C=1C=CC=CC1)N2C(C)CCCC2C
"Pregn-5-en-20-one-20-14C, 3beta-hydroxy-",,,20987-18-2,C21H32O2,O=C(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
"rel-[(1R,2S)-2-(1-Methylethyl)cyclopropyl]benzene",,,72359-62-7,C12H16,C=1C=CC(=CC1)C2CC2C(C)C
"rel-1-[(1R,2R)-2-Ethylcyclopropyl]-4-(trifluoromethyl)benzene",,,212515-14-5,C12H13F3,FC(F)(F)C1=CC=C(C=C1)C2CC2CC
"rel-[(1R,2R)-2-Ethylcyclopropyl]benzene",,,30627-64-6,C11H14,C=1C=CC(=CC1)C2CC2CC
"2,6-Octadien-8-d-8-t-1-ol, 3,7-dimethyl-, [R-(E,E)]-",,,124895-31-4,C10H16DOT,OCC=C(C)CCC=C(C)C
Ethyl-1-dbenzene,,,1861-02-5,C8H9D,C=1C=CC(=CC1)CC
6-Methoxy-2-methyltryptophan,,,1989669-70-6,C13H16N2O3,O=C(O)C(N)CC=1C=2C=CC(OC)=CC2NC1C
"6-Methoxy-1,2-dimethyltryptophan",,,1989670-15-6,C14H18N2O3,O=C(O)C(N)CC=1C=2C=CC(OC)=CC2N(C1C)C
"Tryptophan, 7-hydroxy-1-methyl-",,,2103292-03-9,C12H14N2O3,O=C(O)C(N)CC1=CC=2C=CC=C(O)C2N1C
"Tryptophan, 6-chloro-1-methyl-",,,2103525-26-2,C12H13ClN2O2,O=C(O)C(N)CC1=CC=2C=CC(Cl)=CC2N1C
"alpha,6-Diamino-1-methyl-1H-indole-3-propanal",,,2225849-84-1,C12H15N3O,O=CC(N)CC1=CN(C=2C=C(N)C=CC21)C
alpha-Amino-6-hydroxy-1-methyl-1H-indole-3-propanal,,,2225849-85-2,C12H14N2O2,O=CC(N)CC1=CN(C=2C=C(O)C=CC21)C
alpha-Amino-5-chloro-2-methyl-1H-indole-3-propanal,,,2225849-86-3,C12H13ClN2O,O=CC(N)CC=1C=2C=C(Cl)C=CC2NC1C
"alpha-Amino-1,2,5-trimethyl-1H-indole-3-propanal",,,2225849-87-4,C14H18N2O,O=CC(N)CC=1C=2C=C(C=CC2N(C1C)C)C
"alpha-Amino-6-fluoro-1,2-dimethyl-1H-indole-3-propanal",,,2225849-90-9,C13H15FN2O,O=CC(N)CC=1C=2C=CC(F)=CC2N(C1C)C
"alpha-Amino-5-chloro-1,2-dimethyl-1H-indole-3-propanal",,,2225849-93-2,C13H15ClN2O,O=CC(N)CC=1C=2C=C(Cl)C=CC2N(C1C)C
"alpha-Amino-5-bromo-1,2-dimethyl-1H-indole-3-propanal",,,2225849-97-6,C13H15BrN2O,O=CC(N)CC=1C=2C=C(Br)C=CC2N(C1C)C
"alpha-Amino-5-methoxy-1,2-dimethyl-1H-indole-3-propanal",,,2225850-01-9,C14H18N2O2,O=CC(N)CC=1C=2C=C(OC)C=CC2N(C1C)C
"alpha,5-Diamino-1,2-dimethyl-1H-indole-3-propanal",,,2225850-03-1,C13H17N3O,O=CC(N)CC=1C=2C=C(N)C=CC2N(C1C)C
"alpha-Amino-5-hydroxy-1,2-dimethyl-1H-indole-3-propanal",,,2225850-07-5,C13H16N2O2,O=CC(N)CC=1C=2C=C(O)C=CC2N(C1C)C
"alpha-Amino-1,2-dimethyl-5-phenyl-1H-indole-3-propanal",,,2225850-11-1,C19H20N2O,O=CC(N)CC=1C2=CC(=CC=C2N(C1C)C)C=3C=CC=CC3
"alpha-Amino-5-cyclopropyl-1,2-dimethyl-1H-indole-3-propanal",,,2225850-13-3,C16H20N2O,O=CC(N)CC=1C=2C=C(C=CC2N(C1C)C)C3CC3
"alpha-Amino-1,2-dimethyl-5-(4-morpholinyl)-1H-indole-3-propanal",,,2225850-15-5,C17H23N3O2,O=CC(N)CC=1C=2C=C(C=CC2N(C1C)C)N3CCOCC3
"alpha-Amino-1,2-dimethyl-5-(methylthio)-1H-indole-3-propanal",,,2225850-17-7,C14H18N2OS,O=CC(N)CC=1C=2C=C(SC)C=CC2N(C1C)C
"alpha-Amino-1,2-dimethyl-5-(4-pyridinyl)-1H-indole-3-propanal",,,2225850-19-9,C18H19N3O,O=CC(N)CC=1C2=CC(=CC=C2N(C1C)C)C=3C=CN=CC3
"2-Oxa-7,9-diazabicyclo[4.2.2]decane-8,10-dione, 5-methyl-1-[(1S,2S)-1,2,3-trihydroxy-2-methylpropyl]-, (1S,6S)- (ACI)",,,2209859-95-8,C12H20N2O6,O=C1NC2(OCCC(C)C1NC2=O)C(O)C(O)(C)CO
"1H-1,2,3-Triazole-1-acetic acid, 4-[(diethylamino)methyl]-alpha-methyl-, (4E,6S,7S)-7-methyl-12-oxooxacyclododec-4-en-6-yl ester, (alphaR)- (ACI)",,,2148928-87-2,C22H36N4O4,O=C1OCCC=CC(OC(=O)C(N2N=NC(=C2)CN(CC)CC)C)C(C)CCCC1
"Benzoic acid, 4-[4-[(dimethylamino)methyl]-1H-1,2,3-triazol-1-yl]-, (3R,12S,13S)-12-methyl-7-oxo-1,6-dioxaspiro[2.10]tridec-13-yl ester (ACI)",,,2148925-93-1,C24H32N4O5,O=C(OC1C(C)CCCCC(=O)OCCC21OC2)C3=CC=C(C=C3)N4N=NC(=C4)CN(C)C
"Benzoic acid, 4-[4-[(dimethylamino)methyl]-1H-1,2,3-triazol-1-yl]-, (4E,6S,7S)-7-methyl-12-oxooxacyclododec-4-en-6-yl ester (ACI)",,,2148920-28-7,C24H32N4O4,O=C(OC1C=CCCOC(=O)CCCCC1C)C2=CC=C(C=C2)N3N=NC(=C3)CN(C)C
"1H-1,2,3-Triazole-1-acetic acid, 4-[(dimethylamino)methyl]-alpha-methyl-, (5S,6S)-6-methyl-4-methylene-11-oxo-5-oxacycloundecyl ester, (alphaR)- (ACI)",,,2149610-51-3,C20H32N4O4,O=C1OCCC(=C)C(OC(=O)C(N2N=NC(=C2)CN(C)C)C)C(C)CCCC1
,,,2112731-60-7,C55H55N15O10S6,O=C(NC(C1=NC(=CS1)C(=O)NC(C(=O)N)C)C)C=2N=C(SC2)C=3N=C(SC3)C(=C)NC(=O)C(NC(=O)C=4N=C(SC4)C(NC(=O)C=5N=C(SC5)C(NC(=O)C=6N=C(SC6)C(NC(=O)C)C)CC(=O)NC)CC=7C=CC=CC7)CC8=CC=C(O)C=C8
,,,2112731-63-0,C50H46N14O8S6,O=C1NC(=C)C2=NC(=CS2)C(=O)NC(C(=O)NC(C3=NC(=CS3)C4=NC(=CS4)C=5N=C(C=CC5C6=NC(=CS6)C(=O)NC(C7=NC1=CS7)CC(=O)NC)C8=NC(=CS8)C(=O)NC(C(=O)N)C)C(C)CC)CC9=CC=C(O)C=C9
,,,2112731-70-9,C58H59N15O10S6,O=C(NC(=C)C1=NC(=CS1)C(=O)NC(C(=O)N)C)C=2N=C(SC2)C=3N=C(SC3)C(NC(=O)C(NC(=O)C=4N=C(SC4)C(NC(=O)C=5N=C(SC5)C(NC(=O)C=6N=C(SC6)C(=C)NC(=O)C)CC(=O)NC)CC=7C=CC=CC7)CC8=CC=C(O)C=C8)C(C)CC
,,,2112731-62-9,C55H51N15O10S6,O=C(NC(=C)C1=NC(=CS1)C(=O)NC(C(=O)N)C)C=2N=C(SC2)C=3N=C(SC3)C(=C)NC(=O)C(NC(=O)C=4N=C(SC4)C(NC(=O)C=5N=C(SC5)C(NC(=O)C=6N=C(SC6)C(=C)NC(=O)C)CC(=O)NC)CC=7C=CC=CC7)CC8=CC=C(O)C=C8
,,,2112731-71-0,C52H53N15O10S6,O=C(NC(=C)C1=NC(=CS1)C(=O)NC(C(=O)N)C)C=2N=C(SC2)C=3N=C(SC3)C(NC(=O)C(NC(=O)C=4N=C(SC4)C(=C)NC(=O)C=5N=C(SC5)C(NC(=O)C=6N=C(SC6)C(=C)NC(=O)C)CC(=O)NC)CC7=CC=C(O)C=C7)C(C)CC
,,,2095378-36-0,C79H85Cl2N14O30P3S,O=C(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC=3C(=NC=NC32)N)C(O)C1OP(=O)(O)O)C(NC(=O)C4NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(N)C5=CC=C(O)C=C5)CC6=CC=C(O)C(Cl)=C6)C7=CC=C(O)C=C7)C8=CC=C(O)C(OC9=CC=C(C=C9Cl)C4)=C8)C%10=CC=C(O)C=C%10)C%11=CC=C(O)C=C%11
"rel-2,2,2-Trifluoro-1-[(3aR,6aS)-hexahydrocyclopenta[c]pyrrol-2(1H)-yl]ethanone (ACI)",,,1378872-16-2,C9H12F3NO,C(C(F)(F)F)(=O)N1C[C@]2([C@@](C1)(CCC2)[H])[H]
trans-4-Methylcyclohexane-1-carboxylic acid,,,13064-83-0,C8H14O2,C(O)(=O)[C@H]1CC[C@H](C)CC1
"3-[(2E,6E)-9-Hydroxy-3,7,11-trimethyl-2,6,10-dodecatrien-1-yl]-2-methyl-4(1H)-quinolinone",,,1528792-39-3,C25H33NO2,O=C1C=2C(NC(C)=C1C/C=C(/CC/C=C(/CC(C=C(C)C)O)\C)\C)=CC=CC2
Methyl 3-(azidosulfonyl)-4-(1-methylpropyl)benzoate,,,1538555-59-7,C12H15N3O4S,[N-]=[N+]=NS(=O)(=O)C1=CC(=CC=C1C(C)CC)C(=O)OC
2-(1-Methylethyl)benzenesulfonyl azide,,,1538555-56-4,C9H11N3O2S,[N-]=[N+]=NS(=O)(=O)C=1C=CC=CC1C(C)C
Methyl 3-(azidosulfonyl)-4-(1-methylethyl)benzoate,,,1538555-58-6,C11H13N3O4S,[N-]=[N+]=NS(=O)(=O)C1=CC(=CC=C1C(C)C)C(=O)OC
Methyl 3-(azidosulfonyl)-4-cyclopentylbenzoate,,,1538555-60-0,C13H15N3O4S,[N-]=[N+]=NS(=O)(=O)C1=CC(=CC=C1C2CCCC2)C(=O)OC
Methyl 3-(azidosulfonyl)-4-cyclohexylbenzoate,,,1538555-63-3,C14H17N3O4S,[N-]=[N+]=NS(=O)(=O)C1=CC(=CC=C1C2CCCCC2)C(=O)OC
"2,5-Bis(1-methylethyl)benzenesulfonyl azide",,,959604-89-8,C12H17N3O2S,[N-]=[N+]=NS(=O)(=O)C1=CC(=CC=C1C(C)C)C(C)C
"(3beta)-3-[[(2S,4R)-4-(3-Chlorophenyl)-2-oxido-1,3,2-dioxaphosphorinan-2-yl]oxy]olean-12-en-28-oic acid",,,1894181-61-3,C39H56ClO6P,C[C@]12[C@@]3(C)C([C@]4([C@@](C(O)=O)(CC3)CCC(C)(C)C4)[H])=CC[C@@]1([C@]5(C)[C@@](CC2)(C(C)(C)[C@@H](OP6(=O)O[C@H](CCO6)C7=CC(Cl)=CC=C7)CC5)[H])[H]
"4-(acetoxyamino)-3-[(2Z)-3-(hydroxymethyl)-6,7-dimethylocta-2,6-dienyl]benzoic acid",,,,C20H27NO5,O=C(C)ONC1=C(C=C(C=C1)C(O)=O)C/C=C(\CO)/CC/C(=C(\C)/C)/C
"4-(acetoxyamino)-3-[(2E)-3-ethyl-6,7-dimethylocta-2,6-dienyl]benzoic acid",,,,C21H29NO4,O=C(ONC1C=CC(C(=O)O)=CC=1C/C=C(/CC/C(/C)=C(\C)/C)\CC)C
"(3S,8aS)-3-[(6-Fluoro-1H-indol-3-yl)methyl]hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",,,2313221-40-6,C16H16FN3O2,C(C=1C=2C(NC1)=CC(F)=CC2)[C@H]3C(=O)N4[C@](C(=O)N3)(CCC4)[H]
"(3S,8aS)-3-[(6-Chloro-1H-indol-3-yl)methyl]hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",,,2313221-46-2,C16H16ClN3O2,C(C=1C=2C(NC1)=CC(Cl)=CC2)[C@H]3C(=O)N4[C@](C(=O)N3)(CCC4)[H]
"5,8-Dihydroxy-2-(4-methyl-3-penten-1-yl)-1,4-naphthalenedione",,,43043-74-9,C16H16O4,O=C1C=C(C(=O)C=2C(O)=CC=C(O)C12)CCC=C(C)C
"3a,6,6,9a,11a-pentamethyl-1-(6-methylhept-5-en-2-yl)-2,3,3a,5,5a,6,7,8,9,9a,9b,10,11,11a-tetradecahydro-1H-cyclopenta[1,2-a]phenanthren-7-ol",,,2923581-93-3,C30H50O,CC(CC/C=C(\C)/C)C1CCC(C)2C3=CCC4C(C)(C)C(CCC4(C)C3CCC12C)O
"N-[(6S,9S,12S)-6-{[(2S)-2-aminopropanoyl]amino}-1-amino-1-azanylidene-9-[(4-hydroxyphenyl)methyl]-12-(2-methylpropyl)-7,10,13-trioxo-2,8,11-triazatridec-13-yl]-L-histidine",,,2951912-74-4,C30H46N10O7,[C@H](CC1=CC=C(O)C=C1)(C(N[C@H](C(N[C@@H](CC2=CN=CN2)C(O)=O)=O)CC(C)C)=O)NC([C@@H](NC([C@H](C)N)=O)CCCNC(=N)N)=O
"N-[(4R,9S,12S)-1,4-diamino-1-azanylidene-9-[(4-hydroxyphenyl)methyl]-12-(2-methylpropyl)-7,10,13-trioxo-2,8,11-triazatridec-13-yl]-L-histidine",,,2951913-03-2,C27H41N9O6,[C@H](CC1=CC=C(O)C=C1)(C(N[C@H](C(N[C@@H](CC2=CN=CN2)C(O)=O)=O)CC(C)C)=O)NC([C@H](CCCNC(=N)N)N)=O
"N-[(6S,9S,12S)-6-{[(2S)-2-amino-4-[methyl(oxo)-4-sulfanyl]-1-oxobutyl]amino}-1-amino-1-azanylidene-9-[(4-hydroxyphenyl)methyl]-12-(2-methylpropyl)-7,10,13-trioxo-2,8,11-triazatridec-13-yl]-L-histidine",,,2951913-28-1,C32H50N10O8S,[C@@H](CC1=CC=C(O)C=C1)(NC([C@@H](NC([C@H](CCS(C)=O)N)=O)CCCNC(=N)N)=O)C(N[C@H](C(N[C@@H](CC2=CN=CN2)C(O)=O)=O)CC(C)C)=O
L-Methionyl-L-seryl-L-tyrosyl-L-leucyl-L-histidine,,,1810850-19-1,C29H43N7O8S,[C@H](CC1=CC=C(O)C=C1)(C(N[C@H](C(N[C@@H](CC2=CN=CN2)C(O)=O)=O)CC(C)C)=O)NC([C@@H](NC([C@H](CCSC)N)=O)CO)=O
"N-[(5S,8S,11S,14S)-5-amino-8-(carbamoylmethyl)-11-[(4-hydroxyphenyl)methyl]-14-(2-methylpropyl)-6,9,12,15-tetraoxo-2-thia-7,10,13-triazapentadec-15-yl]-L-histidine",,,2951912-75-5,C30H44N8O8S,[C@H](CC1=CC=C(O)C=C1)(C(N[C@H](C(N[C@@H](CC2=CN=CN2)C(O)=O)=O)CC(C)C)=O)NC([C@@H](NC([C@H](CCSC)N)=O)CC(N)=O)=O
"N-[(5S,8S,11S,14S)-5-amino-14-(carboxymethyl)-8-(hydroxymethyl)-11-[(4-hydroxyphenyl)methyl]-6,9,12,15-tetraoxo-2-thia-7,10,13-triazapentadec-15-yl]-L-histidine",,,2951912-76-6,C27H37N7O10S,[C@H](CC1=CC=C(O)C=C1)(C(N[C@H](C(N[C@@H](CC2=CN=CN2)C(O)=O)=O)CC(O)=O)=O)NC([C@@H](NC([C@H](CCSC)N)=O)CO)=O
"N-[(5S,8S,11S,14S)-14-(1H-indol-3-ylmethyl)-5-amino-8-(3-{[amino(azanylidene)methyl]amino}propyl)-11-[(4-hydroxyphenyl)methyl]-6,9,12,15-tetraoxo-2-thia-7,10,13-triazapentadec-15-yl]-L-histidine",,,2951912-77-7,C37H49N11O7S,C([C@H](NC([C@H](CC1=CC=C(O)C=C1)NC([C@@H](NC([C@H](CCSC)N)=O)CCCNC(=N)N)=O)=O)C(N[C@@H](CC2=CN=CN2)C(O)=O)=O)C=3C=4C(NC3)=CC=CC4
"N-[(5S,8S,11S,14S)-5-amino-8-(3-{[amino(azanylidene)methyl]amino}propyl)-14-(carboxymethyl)-11-[(4-hydroxyphenyl)methyl]-6,9,12,15-tetraoxo-2-thia-7,10,13-triazapentadec-15-yl]-L-histidine",,,2951912-78-8,C30H44N10O9S,[C@@H](CC1=CC=C(O)C=C1)(NC([C@@H](NC([C@H](CCSC)N)=O)CCCNC(=N)N)=O)C(N[C@H](C(N[C@@H](CC2=CN=CN2)C(O)=O)=O)CC(O)=O)=O
