Compound,Compound CID,Compound SID,Compound formula,Compound CAS,Compound smiles
"Germacra-1(10),4,11(13)-Trien-12-Oate",25245824,,,C15H21O2-,C/C/1=C\CC/C(=C/C[C@@H](CC1)C(=C)C(=O)[O-])/C
Testosterone,6013,,,C19H28O2,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C
"Androst-4-Ene-3,17-Dione",6128,,,C19H26O2,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
Progesterone,5994,,,C21H30O2,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
Blennolide C,25128423,,,C16H16O7,CC1=CC(=C2C(=C1)O[C@]3([C@H](CCC(=O)C3=C2O)O)C(=O)OC)O
Peregrinol,7092583,,,C20H36O2,C[C@@H]1CC[C@@H]2[C@@]([C@]1(CC/C(=C/CO)/C)O)(CCCC2(C)C)C
Lanosterol,246983,,,C30H50O,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C
26-Hydroxylanosterol,69619365,,,C30H50O2,C[C@H](CC/C=C(\C)/CO)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C
26-Oxolanosterol,156587284,,,C30H48O2,C[C@H](CC/C=C(\C)/C=O)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C
Germacrene A,5835162,,,C15H24,C/C/1=C\CC/C(=C/CC(CC1)C(=C)C)/C
Costunolide,5281437,,,C15H20O2,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
(+)-Sesamin,72307,,,C20H18O6,C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6
Dihydrosanguinarine,124069,,,C20H15NO4,CN1CC2=C(C=CC3=C2OCO3)C4=C1C5=CC6=C(C=C5C=C4)OCO6
Dihydrochelerythrine,485077,,,C21H19NO4,CN1CC2=C(C=CC(=C2OC)OC)C3=C1C4=CC5=C(C=C4C=C3)OCO5
(-)-Tabersonine,495253,,,C21H24N2O2,CCC12CC(=C3C4(C1N(CC4)CC=C2)C5=CC=CC=C5N3)C(=O)OC
Phenylacetaldoxime,99748,,,C8H9NO,C1=CC=C(C=C1)CC=NO
Chrodrimanin C,101565498,,,C25H32O5,C[C@@H]1CC2=C(C(=CC3=C2C[C@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@@]4(O3)C)(C)C)C)O)C(=O)O1
3-Hydroxypentacecilide A,154573703,,,C25H34O5,C[C@@H]1CC2=C(C(=CC3=C2C[C@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@@]4(O3)C)(C)C)O)C)O)C(=O)O1
