P450 symbol,Protein name,Gene ID,Uniprot ID,EC number,Species,Species classification,Txid,Subcellular location
CYP88A108;CYP88A164;CYP88A222,,,A0A5B8ND22;P0DXH4;/,1.14.14.-,Melia azedarach,Plant,155640,
TlnA,,,,,Streptomyces sp. S6043a,Microorganism,1931,
CYP255,SyoA,,,,Amycolatopsis thermoflava N1165,Microorganism,1068979,
CYP255,SyoA,,,,Amycolatopsis thermoflava N1165,Microorganism,1068979,
CYP255,SyoA,,,,Amycolatopsis thermoflava N1165,Microorganism,1068979,
CYP71CA1,Parthenolide synthase,/,X2EVV9,1.14.14.-,Tanacetum parthenium (Feverfew) (Matricaria parthenium),Plant,127999,
CYP72056,,,,,Mitragyna speciosa,Plant,170351,
CYP72056,,,,,Mitragyna speciosa,Plant,170351,
CYP72056,,,,,Mitragyna speciosa,Plant,170351,
CYP72056,,,,,Mitragyna speciosa,Plant,170351,
CYP72056,,,,,Mitragyna speciosa,Plant,170351,
CYP82A2a,,,,,Glycine max,Plant,3847,
CYP82A2a,,,,,Glycine max,Plant,3847,
CYP82A2a,,,,,Glycine max,Plant,3847,
CYP82A4a/b,,,,,Glycine max,Plant,3847,
CYP82A2b,,,,,Glycine max,Plant,3847,
CYP716A355,,,,,Aralia elata,Plant,82095,
CYP716A354/CYP716A296/CYP716A433,,,,,Aralia elata,Plant,82095,
CYP716A354/CYP716A296/CYP716A433,,,,,Aralia elata,Plant,82095,
CYP716A355,,,,,Aralia elata,Plant,82095,
CYP716A354/CYP716A296/CYP716A433,,,,,Aralia elata,Plant,82095,
CYP716A354/CYP716A296/CYP716A433,,,,,Aralia elata,Plant,82095,
CYP716A355,,,,,Aralia elata,Plant,82095,
CYP716A354/CYP716A296/CYP716A433,,,,,Aralia elata,Plant,82095,
CYP716A354/CYP716A296/CYP716A433,,,,,Aralia elata,Plant,82095,
CYP716E114,,,,,Aralia elata,Plant,82095,
CYP716E114,,,,,Aralia elata,Plant,82095,
CYP716A355,,,,,Aralia elata,Plant,82095,
CYP716A296,,,,,Aralia elata,Plant,82095,
CYP716A355,,,,,Aralia elata,Plant,82095,
CYP716E114,,,,,Aralia elata,Plant,82095,
CYP716A355,,,,,Aralia elata,Plant,82095,
CYP716E114,,,,,Aralia elata,Plant,82095,
CYP716A296,,,,,Aralia elata,Plant,82095,
CYP80B,,,,,Stephania tetrandra,Plant,425106,
CYP80B,,,,,Stephania tetrandra,Plant,425106,
CYP80B,,,,,Stephania tetrandra,Plant,425106,
CYP80B,,,,,Stephania tetrandra,Plant,425106,
CYP71D587,,,,,Andrographis Paniculata,Plant,175694,
CYP71BE50,,,,,Andrographis Paniculata,Plant,175694,
CYP71BE50,,,,,Andrographis Paniculata,Plant,175694,
CYP71BE50,,,,,Andrographis Paniculata,Plant,175694,
CYP71D587,,,,,Andrographis Paniculata,Plant,175694,
CYP706U5,,,,,Andrographis Paniculata,Plant,175694,
CYP72F1,,,,,Andrographis Paniculata,Plant,175694,
CYP706U5,,,,,Andrographis Paniculata,Plant,175694,
CYP72F1,,,,,Andrographis Paniculata,Plant,175694,
CYP71BE50,,,,,Andrographis Paniculata,Plant,175694,
CYP71BE50,,,,,Andrographis Paniculata,Plant,175694,
CYP71BE50,,,,,Andrographis Paniculata,Plant,175694,
cyp102A1,Cytochrome P450BM-3,,P14779,"1.14.14.1,1.6.2.4",Priestia megaterium,Microorganism,1348623,
CYP76F112,Cytochrome P450 CYP76F112,,A0A8E6Y5Y9,,Ficus carica,Plant,3494,
cyp736a360,Cytochrome P450 CYP736A360,,,,Peucedanum praeruptorum,Plant,312531,
cyp736a,Cytochrome P450 CYP736A,,,,Angelica sinensis,Plant,165353,
CYP71AJ1,Psoralen synthase,,Q6QNI4,1.14.14.141,Ammi majus,Plant,48026,
CYP71AJ49,,,,,Peucedanum praeruptorum,Plant,312531,
CYP736A366,,,,,Peucedanum praeruptorum,Plant,312531,
cyp736a,Cytochrome P450 CYP736A,,,,Angelica sinensis,Plant,165353,
CYP71AJ51,,,,,Peucedanum praeruptorum,Plant,312531,
CYP71AZ4,Xanthotoxol synthase,,A0A2Z5D854,,Pastinaca sativa,Plant,4041,
CYP71AZ4,Xanthotoxol synthase,,A0A2Z5D854,,Pastinaca sativa,Plant,4041,
CYP71AZ1,,,,,Pastinaca sativa,Plant,4041,
CYP71AZ6,5-OH-xanthotoxin synthase,,A0A2Z5D852,,Pastinaca sativa,Plant,4041,
CYP82D64,,,,,Citrus paradisi,Plant,37656,
CYP82D64,,,,,Citrus hystrix,Plant,170989,
CYP71B130a,,,,,Ficus carica,Plant,3494,
CYP71B131a,,,,,Ficus carica,Plant,3494,
CYP71AZ18,,,,,Angelica dahurica,Plant,48101,
CYP71AZ19,,,,,Angelica dahurica,Plant,48101,
CYP150,,,,,Gongronemopsis tenacissima,Plant,187505,
CYP108,,,,,Gongronemopsis tenacissima,Plant,187505,
CYP150,,,,,Gongronemopsis tenacissima,Plant,187505,
CYP108,,,,,Gongronemopsis tenacissima,Plant,187505,
CYP716A409,cytochrome P450 CYP716A409,,,,Hedera helix,Plant,4052,
CYP716S11,cytochrome P450 CYP716S11,,,,Hedera helix,Plant,4052,
CYP72D57,cytochrome P450 CYP72D57,,,,Hedera helix,Plant,4052,
CYP72A1140,cytochrome P450 CYP72A1140,,,,Hedera helix,Plant,4052,
CYP72A1141,cytochrome P450 CYP72A1141,,,,Hedera helix,Plant,4052,
CYP72A1141,cytochrome P450 CYP72A1141,,,,Hedera helix,Plant,4052,
CYP72D57,cytochrome P450 CYP72D57,,,,Hedera helix,Plant,4052,
CYP72A1139,cytochrome P450 CYP72A1139,,,,Hedera helix,Plant,4052,
FlasE,,,,,Aspergillus flavipes,Plant,41900,
EpiC,,,,,Aspergillus flavipes,Plant,41900,
EpiC,,,,,Aspergillus flavipes,Plant,41900,
EpiC,,,,,Aspergillus flavipes,Plant,41900,
EpiC,,,,,Aspergillus flavipes,Plant,41900,
EpiC,,,,,Aspergillus flavipes,Plant,41900,
EpiC,,,,,Aspergillus flavipes,Plant,41900,
CYP79A1,,,,,Synechocystis sp. PCC 6803,Microorganism,1111708,
CYP116B234,self©\sufficient P450 CYP116B234,,,,Rhodococcus globerulus,Microorganism,33008,
CYP116B234,self©\sufficient P450 CYP116B234,,,,Rhodococcus globerulus,Microorganism,33008,
CYP716,,,,,Prunella vulgaris,Plant,39358,
CYP716,,,,,Prunella vulgaris,Plant,39358,
CYP90B27,Cholesterol 22-hydroxylase CYP90B27,,A0A5A4DV62,,Paris polyphylla (Daiswa polyphylla),Plant,49666,
CYP94D108,Cytochrome P450 CYP94D108,,A0A517FNC7,,Paris polyphylla (Daiswa polyphylla),Plant,49666,
CYP94D109,Cytochrome P450 CYP94D109,,A0A517FND0,,Paris polyphylla (Daiswa polyphylla),Plant,49666,
dtpC,Cytochrome P450,,A0A7U2QZH8,,Aspergillus flavus,Microorganism,332952,
dtpC,Cytochrome P450,,A0A7U2QZH8,,Aspergillus flavus,Microorganism,332952,
dtpC,Cytochrome P450,,A0A7U2QZH8,,Aspergillus flavus,Microorganism,332952,
dtpC,Cytochrome P450,,A0A7U2QZH8,,Aspergillus flavus,Microorganism,332952,
CYP116B46,,,,,Tepidiphilus thermophilus,Microorganism,876478,
AeCYP716A8/9,,,,,Actinidia eriantha Benth,Plant,165200,
AeCYP716A8/9,,,,,Actinidia eriantha Benth,Plant,165200,
AeCYP716A8/9,,,,,Actinidia eriantha Benth,Plant,165200,
CYP71DD1,,,,,Xanthium strumarium,Plant,318068,
CYP71BL7,,,,,Xanthium strumarium,Plant,318068,
CYP71AX30,,,,,Xanthium strumarium,Plant,318068,
cyp102A1,Cytochrome P450BM-3,,P14779,"1.14.14.1,1.6.2.4",Priestia megaterium,Microorganism,1348623,
cyp102A1,P450 BM3-139-3 variant,,P14779,"1.14.14.1,1.6.2.4",Priestia megaterium,Microorganism,1348623,
DhiH,,,,,P. purpurogenum AN13,Microorganism,,
DhiH,,,,,P. purpurogenum AN13,Microorganism,,
CYP2C8,Cytochrome P450 2C8,1558,P10632,1.14.14.1,Homo sapiens (Human),Animal,9606,
CYP3A4,Cytochrome P450 3A4,1576,P08684,1.14.14.1; 1.14.14.55; 1.14.14.56; 1.14.14.73,Homo sapiens (Human),Animal,9606,
CYP107PQ1QE,,,,,Meiothermus ruber,Microorganism,277,
CYP7176,,,,,Salvia miltiorrhiza (Chinese sage),Plant,226208,
PerX,,,,,Actinokineospora sp UTMC 2448,Microorganism,2268449,
cyp102A1,CYP102A1 M601 mutant,,P14779,"1.14.14.1,1.6.2.4",Priestia megaterium,Microorganism,1348623,
CYP1A1,Cytochrome P450 1A,,Q0VHD5,1.14.14.1,Homo sapiens,Animal,9606,
CYP80Q5,,,,,Stephania tetrandra,Plant,425106,
CYP80Q5,,,,,Stephania tetrandra,Plant,425106,
CYP80G6,,,,,Stephania tetrandra,Plant,425106,
CYP80B7,,,,,Stephania tetrandra,Plant,425106,
CYP80G6,,,,,Stephania tetrandra,Plant,425106,
CYP719C4,,,,,Stephania tetrandra,Plant,425106,
CYP719C3,,,,,Stephania tetrandra,Plant,425106,
CYP719C3,,,,,Stephania tetrandra,Plant,425106,
CYP719C4,,,,,Stephania tetrandra,Plant,425106,
CYP719C3,,,,,Stephania tetrandra,Plant,425106,
CYP719C4,,,,,Stephania tetrandra,Plant,425106,
TmCYP1,,,,,Taxus x media,Plant,85957,
TmCYP1,,,,,Taxus x media,Plant,85957,
TmCYP1,,,,,Taxus x media,Plant,85957,
claR,Cytochrome P450 monooxygenase claR,,P9WEI7,1.-.-.-,Ampulloclitocybe clavipes,Microorganism,56467,
claT,Cytochrome P450 monooxygenase claT,,P9WEI5,1.-.-.-,Ampulloclitocybe clavipes,Microorganism,56467,
claT,Cytochrome P450 monooxygenase claT,,P9WEI5,1.-.-.-,Ampulloclitocybe clavipes,Microorganism,56467,
claT,Cytochrome P450 monooxygenase claT,,P9WEI5,1.-.-.-,Ampulloclitocybe clavipes,Microorganism,56467,
cpsD,Cytochrome P450 monooxygenase cpsD,,A0A2I1CSG1,1.-.-.-,Aspergillus campestris (strain IBT 28561),Microorganism,1392248,
cpsD,Cytochrome P450 monooxygenase cpsD,,A0A2I1CSG1,1.-.-.-,Aspergillus campestris (strain IBT 28561),Microorganism,1392248,
cpsD,Cytochrome P450 monooxygenase cpsD,,A0A2I1CSG1,1.-.-.-,Aspergillus campestris (strain IBT 28561),Microorganism,1392248,
cpsC,Cytochrome P450 monooxygenase cpsC,,A0A2I1CSH6,1.-.-.-,Aspergillus campestris (strain IBT 28561),Microorganism,1392248,
A09437,P450FE,,,,Fusarium equiseti HG18,Microorganism,,
CYP736A1,Cytochrome P450,,A0A3Q7G3P6,,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),Plant,4081,
CYP736A1,Cytochrome P450,,A0A3Q7G3P6,,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),Plant,4081,
CYP736A1,Cytochrome P450,,A0A3Q7G3P6,,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),Plant,4081,
CYP736A1,Cytochrome P450,,A0A3Q7G3P6,,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),Plant,4081,
CYP736A1,Cytochrome P450,,A0A3Q7G3P6,,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),Plant,4081,
CYP71BE52,Salviol synthase,/,A0A0S1TQ04,1.14.14.62,Salvia pomifera (Apple sage),Plant,396869,
CYP76M8,Oryzalexin D synthase,,Q6YTF1,1.14.14.112; 1.14.14.123,Oryza sativa subsp. japonica (Rice),Plant,39947,
CYP76AH22,Ferruginol synthase 1,/,A0A0C5Q4Y6,1.14.14.-; 1.14.14.175; 1.14.14.60,Rosmarinus officinalis (Rosemary) (Salvia rosmarinus),Plant,39367,
CYP720B4,CYP720B4,,E5FA70,,Picea sitchensis (Sitka spruce) (Pinus sitchensis),Plant,3332,
CYP76M8,Oryzalexin D synthase,,Q6YTF1,1.14.14.112; 1.14.14.123,Oryza sativa subsp. japonica (Rice),Plant,39947,
CYP76M8,Oryzalexin D synthase,,Q6YTF1,1.14.14.112; 1.14.14.123,Oryza sativa subsp. japonica (Rice),Plant,39947,
CYP71BE52,Salviol synthase,/,A0A0S1TQ04,1.14.14.62,Salvia pomifera (Apple sage),Plant,396869,
CYP720B4,CYP720B4,,E5FA70,,Picea sitchensis (Sitka spruce) (Pinus sitchensis),Plant,3332,
CYP76M8,Oryzalexin D synthase,,Q6YTF1,1.14.14.112; 1.14.14.123,Oryza sativa subsp. japonica (Rice),Plant,39947,
CYP720B4,CYP720B4,,E5FA70,,Picea sitchensis (Sitka spruce) (Pinus sitchensis),Plant,3332,
CYP76M8,Oryzalexin D synthase,,Q6YTF1,1.14.14.112; 1.14.14.123,Oryza sativa subsp. japonica (Rice),Plant,39947,
CYP76M8,Oryzalexin D synthase,,Q6YTF1,1.14.14.112; 1.14.14.123,Oryza sativa subsp. japonica (Rice),Plant,39947,
CYP76M8,Oryzalexin D synthase,,Q6YTF1,1.14.14.112; 1.14.14.123,Oryza sativa subsp. japonica (Rice),Plant,39947,
CYP76M8,Oryzalexin D synthase,,Q6YTF1,1.14.14.112; 1.14.14.123,Oryza sativa subsp. japonica (Rice),Plant,39947,
CYP76M8,Oryzalexin D synthase,,Q6YTF1,1.14.14.112; 1.14.14.123,Oryza sativa subsp. japonica (Rice),Plant,39947,
CYP720B4,CYP720B4,,E5FA70,,Picea sitchensis (Sitka spruce) (Pinus sitchensis),Plant,3332,
TOT1,taxane oxetanase 1,,,,Taxus mairei,Plant,120273,
TOT1,taxane oxetanase 1,,,,Taxus mairei,Plant,120273,
vrcB,Cytochrome P450 monooxygenase vrcB,,A0A1L9WQK2,1.-.-.-,Aspergillus aculeatus (strain ATCC 16872),Microorganism,690307,
vrcB,Cytochrome P450 monooxygenase vrcB,,A0A1L9WQK2,1.-.-.-,Aspergillus aculeatus (strain ATCC 16872),Microorganism,690307,
cyp102A1,Bifunctional cytochrome P450/NADPH--P450 reductase,93643681,P14779,"1.14.14.1,1.6.2.4",Priestia megaterium,Microorganism,1348623,
cyp102A1,Cytochrome P450-BM3 variant P411-PFA,,,,Priestia megaterium,Microorganism,1404,
PanH,,,,,Panus rudis,Microorganism,48022,
PanH,,,,,Panus rudis,Microorganism,48022,
PanH,,,,,Panus rudis,Microorganism,48022,
PhmC,,,,,Phoma sp. ATCC 74077,Microorganism,3079041,
PhmC,,,,,Phoma sp. ATCC 74077,Microorganism,3079041,
PhmC,,,,,Phoma sp. ATCC 74077,Microorganism,3079041,
PhmC,,,,,Phoma sp. ATCC 74077,Microorganism,3079041,
PhmC,,,,,Phoma sp. ATCC 74077,Microorganism,3079041,
PhmC,,,,,Phoma sp. ATCC 74077,Microorganism,3079041,
PhmC,,,,,Phoma sp. ATCC 74077,Microorganism,3079041,
PhmC,,,,,Phoma sp. ATCC 74077,Microorganism,3079041,
PhmC,,,,,Phoma sp. ATCC 74077,Microorganism,3079041,
PhmC,,,,,Phoma sp. ATCC 74077,Microorganism,3079041,
CYP87A106,,,,,Digitalis purpurea,Plant,4164,
CYP87A106,,,,,Digitalis purpurea,Plant,4164,
CYP87A106,,,,,Digitalis purpurea,Plant,4164,
CYP87A103,,,,,Calotropis procera,Plant,141467,
CYP87A103,,,,,Calotropis procera,Plant,141467,
CYP87A103,,,,,Calotropis procera,Plant,141467,
CYP82C4,,,,,Angelica dahurica,Plant,48101,
CYP1A2,Cytochrome P450 1A2,,P05177,1.14.14.1,Homo sapiens,Animal,9606,
CYP3A4,Cytochrome P450 3A4,,P08684,1.14.14.1,Homo sapiens,Animal,9606,
CYP716A52v2,Beta-amyrin 28-monooxygenase,,I7C6E8,1.14.14.126,Panax ginseng,Plant,4054,
OsdM,,,,,Fusarium oxysporum,Microorganism,5507,
OsdM,,,,,Fusarium oxysporum,Microorganism,5507,
OsdM,,,,,Fusarium oxysporum,Microorganism,5507,
cloA,Cytochrome P450 monooxygenase cloA,,Q2PBY6,,Claviceps purpurea,Microorganism,5111,
cloA,Cytochrome P450 monooxygenase cloA,,Q2PBY6,,Claviceps purpurea,Microorganism,5111,
CYP98,"osmanthuside B 3,3¡ä-hydroxylase [OBH]",,,,L. robustum,Plant,,
CYP82M3,Tropinone synthase CYP82M3,,A0A3G4RHY7,,Atropa belladonna,Plant,33113,
CYP82M3,CYP82M3,,A0A9Y1E1K8,,Datura stramonium,Plant,4076,
CYP68J5_fg,,,,,Fusarium graminearum,Microorganism,5518,
CYP68J5_fg,,,,,Fusarium graminearum,Microorganism,5518,
CYP68J5_fg,,,,,Fusarium graminearum,Microorganism,5518,
CYP80Q1,,,,,Nelumbo nucifera,Plant,4432,
CYP80Q2,,,,,Nelumbo nucifera,Plant,4432,
CYP719A22,,,,,Nelumbo nucifera,Plant,4432,
CYP719A22,,,,,Nelumbo nucifera,Plant,4432,
CYP199A4,,,Q2IU02,,Rhodopseudomonas palustris (strain HaA2),Microorganism,316058,
CYP55B1,cytochrome P450 55B1,,,,Chlamydomonas reinhardtii,Microorganism,3055,
CYP3A4,Cytochrome P450 3A4,,P08684,1.14.14.1,Homo sapiens,Animal,9606,
CYP3A4,Cytochrome P450 3A4,,P08684,1.14.14.1,Homo sapiens,Animal,9606,
CYP450 Cpd I,,,,,,,,
CYP154C8,Steroid hydroxylase CYP154C8,,A0A2H4WK62,,Streptomyces sp.,Microorganism,1931,
CYP154C8,Steroid hydroxylase CYP154C8,,A0A2H4WK62,,Streptomyces sp.,Microorganism,1931,
,Cytochrome P450 3A-mediated N-demethylation,,,,,,,
CYP105D18,Cytochrome P450 hydroxylase,,A0A160P685,,Streptomyces laurentii,Microorganism,39478,
cyp102A1,Bifunctional cytochrome P450/NADPH--P450 reductase,93643681,P14779,"1.14.14.1,1.6.2.4",Priestia megaterium,Microorganism,1348623,
cyp102A1,Bifunctional cytochrome P450/NADPH--P450 reductase,93643681,P14779,"1.14.14.1,1.6.2.4",Priestia megaterium,Microorganism,1348623,
cyp102A1,Bifunctional cytochrome P450/NADPH--P450 reductase,93643681,P14779,"1.14.14.1,1.6.2.4",Priestia megaterium,Microorganism,1348623,
cyp102A1,Bifunctional cytochrome P450/NADPH--P450 reductase,93643681,P14779,"1.14.14.1,1.6.2.4",Priestia megaterium,Microorganism,1348623,
cyp102A1,Bifunctional cytochrome P450/NADPH--P450 reductase,93643681,P14779,"1.14.14.1,1.6.2.4",Priestia megaterium,Microorganism,1348623,
AcCYP716A278,cytochrome p450 catalyst beta amirin hydroxylation,,,,Aesculus chinensis,Microorganism,290911,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
TdaG/TdaI/TdaP/TdaS,Cytochrome P450 Monooxygenase,,,,Hypoxylon aveirense,Microorganism,2802820,
OleTJE,Cytochrome P 450-OleTJE,,E9NSU2,,Jeotgalicoccus sp. ATCC 8456,Microorganism,946435,
CYP153A,,,,,,Microorganism,,
P450 SgvP,p450-like monooxygenase,,R9USI6,,Streptomyces griseoviridis,Microorganism,45398,
CYP152,Cytochrome P450,,O24782;C4L2G9,,Sphingomonas paucimobilis;Exiguobacterium sp.,Microorganism,13689;360911,
CYP152,Cytochrome P450,,O24782;C4L2G9,,Sphingomonas paucimobilis;Exiguobacterium sp.,Microorganism,13689;360911,
cyp102A1,P450 BM3,,P14779,,B. megaterium,Microorganism,1348623,
cyp102A1,P450 BM3,,P14779,,B. megaterium,Microorganism,1348623,
CYP152,Cytochrome P450,,O24782;C4L2G9,,Sphingomonas paucimobilis;Exiguobacterium sp.,Microorganism,13689;360911,
CYP152,Cytochrome P450,,O24782;C4L2G9,,Sphingomonas paucimobilis;Exiguobacterium sp.,Microorganism,13689;360911,
CYP716E60,,,,,Enkianthus chinensis,Plant,171226,
CYP76AD,Engineering cytochrome P450,,,,Red beetroot,Plant,,
CYP716E60,,,,,Enkianthus chinensis,Plant,171226,
CYP716C80,,,,,Enkianthus chinensis,Plant,171226,
CYP716C80,,,,,Enkianthus chinensis,Plant,171226,
CYP152,Cytochrome P450,,O24782;C4L2G9,,Sphingomonas paucimobilis;Exiguobacterium sp.,Microorganism,13689;360911,
CYP152,Cytochrome P450,,O24782;C4L2G9,,Sphingomonas paucimobilis;Exiguobacterium sp.,Microorganism,13689;360911,
CYP152,Cytochrome P450,,O24782;C4L2G9,,Sphingomonas paucimobilis;Exiguobacterium sp.,Microorganism,13689;360911,
TwCYP716C52,,,,,Celastraceae,Plant,4305,
cyp102A1,Bifunctional cytochrome P450/NADPH--P450 reductase,/,P14779,1.14.14.1; 1.6.2.4,Priestia megaterium (strain ATCC 14581 / DSM 32 / CCUG 1817 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / NRRL B-14308 / VKM B-512 / Ford 19),Microorganism,1348623,
oleP,Cytochrome P-450,,Q59819,,Streptomyces antibioticus,Microorganism,1890,
CYP71FH1,,,,,Delphinium grandiflorum,Plant,85439,
CYP701A127,,,,,Delphinium grandiflorum,Plant,85439,
CYP71FH1,,,,,Delphinium grandiflorum,Plant,85439,
CYP701A127,,,,,Delphinium grandiflorum,Plant,85439,
CYP71FH1,,,,,Delphinium grandiflorum,Plant,85439,
CYP701A127,,,,,Delphinium grandiflorum,Plant,85439,
CYP71FH1,,,,,Delphinium grandiflorum,Plant,85439,
CYP701A127,,,,,Delphinium grandiflorum,Plant,85439,
CYP729G1,,,,,Delphinium grandiflorum,Plant,85439,
CYP71FK1,,,,,Delphinium grandiflorum,Plant,85439,
CYP729G1,,,,,Delphinium grandiflorum,Plant,85439,
CYP71FK1,,,,,Delphinium grandiflorum,Plant,85439,
CYP-sb21,Cytochrome P450 hydroxylase sb21,,M1GMS4,,Nonomuraea dietziae,Microorganism,65515,
,Cytochrome P450 monooxygenase,,,,Bacillus megaterium,Microorganism,592022,
CYP161H12-RHFRed,,,,,,Microorganism,,
CYP161H12-RHFRed,,,,,,Microorganism,,
CYP76AD,,,,,Caryophyllales,Plant,3524,
CYP76AD,,,,,Caryophyllales,Plant,3524,
CYP76AD,,,,,Caryophyllales,Plant,3524,
CYP76AD,,,,,Caryophyllales,Plant,3524,
CYP79A1,Tyrosine N-monooxygenase,,Q43135,1.14.14.36,Sorghum bicolor,Plant,4558,
CYP105D18,Cytochrome P450 hydroxylase,,,,Escherichia coli,Microorganism,595495,
CYP71BE271,,,,,T. wilfordii,Plant,37216,
,Cytochrome P450 hydroxylase dearboxylase,,,,,Microorganism,,
