substrate_idx,cid,in_any_split,pubchem_conformer_count_3d,pubchem_isomeric_smiles,pubchem_inchikey,pubchem_heavy_atoms,pubchem_rotatable_bonds,inchikey_match
440,932,1,5,,FTVWIRXFELQLPI-UHFFFAOYSA-N,20,1,1
441,439246,1,4,,FTVWIRXFELQLPI-ZDUSSCGKSA-N,20,1,1
442,441005,1,2,,FUCYIEXQVQJBKY-ZFWWWQNUSA-N,15,1,1
443,62453,1,1,,FUGYGGDSWSUORM-UHFFFAOYSA-N,9,1,1
444,44577208,1,10,,FUHGIRXMYOFRFO-MBLHVHFBSA-N,23,6,1
445,57428585,1,0,,FUHMZYWBSHTEDZ-UHFFFAOYSA-N,32,9,1
446,114829,1,4,,FURUXTVZLHCCNA-AWEZNQCLSA-N,19,1,1
447,8892,1,10,,FUZZWVXGSFPDMH-UHFFFAOYSA-N,8,4,1
448,441066,1,10,,FVEMXQCEJGGXJB-CQSZACIVSA-N,23,4,1
449,443766,1,10,,FVEMXQCEJGGXJB-UHFFFAOYSA-N,23,4,1
450,12122,1,10,,FVMDYYGIDFPZAX-UHFFFAOYSA-N,11,2,1
451,,1,,,,,,
452,72326,1,1,,FVWJYYTZTCVBKE-ROUWMTJPSA-N,32,2,1
453,,1,,,,,,
454,440582,1,4,,FVXCQULKSPVRPK-HNNXBMFYSA-N,24,1,1
455,5117621,1,7,,FVXCQULKSPVRPK-UHFFFAOYSA-N,24,1,1
456,334704,1,3,,FWYSBEAFFPBAQU-LBPRGKRZSA-N,18,1,1
457,122499522,1,10,,FXDKIVBUAHWOHU-UHFFFAOYSA-N,22,4,1
458,,1,,,,,,
459,99470,1,7,,FYHRJWMENCALJY-CCDZVGGQSA-N,29,6,1
460,123976,1,7,,FYHRJWMENCALJY-YSQMORBQSA-N,29,6,1
461,11326613,1,7,,FZDVNXHYGMEEDT-UHFFFAOYSA-N,29,4,1
462,904,1,2,,FZERHIULMFGESH-UHFFFAOYSA-N,10,1,1
463,447216,1,10,,FZLDAJVXFYWRCX-VWLOTQADSA-N,34,8,1
464,198749,1,10,,GAZJVWPMPITOLB-UHFFFAOYSA-N,19,9,1
465,5460426,1,2,,GBUUKFRQPCPYPW-KKSFZXQISA-N,25,0,1
466,10403490,1,2,,GDLRDIDXYBIPFY-YWZLYKJASA-N,23,1,1
467,164910,1,10,,GDMRVYIFGPMUCG-JTQLQIEISA-N,16,3,1
468,95319,1,10,,GDMRVYIFGPMUCG-UHFFFAOYSA-N,16,3,1
469,,1,,,,,,
470,18604925,1,10,,GFHNQKKLOLZRQE-WNJXEPBRSA-N,13,6,1
471,182645,1,5,,GFNWRKNVTHDNPV-UXOAXIEHSA-N,16,1,1
472,72193725,1,0,,GGDUSUKUCOFETL-UHFFFAOYSA-M,29,24,1
473,53356674,0,0,,RNQMHXMGXVQRMV-UHFFFAOYSA-J,43,6,0
474,12085,1,2,,GHICCUXQJBDNRN-UHFFFAOYSA-N,10,1,1
475,23531772,1,3,,GHQXOGDXOSLAQM-SFOIOBPVSA-N,24,1,1
476,595230,1,2,,GHTDODSYDCPOCW-UHFFFAOYSA-N,12,1,1
477,4678093,1,10,,GHVNFZFCNZKVNT-UHFFFAOYSA-M,12,7,1
478,2969,1,10,,GHVNFZFCNZKVNT-UHFFFAOYSA-N,12,8,1
479,54680304,1,7,,GHXZHWYUSAWISC-KZRBWAKNSA-N,35,1,1
480,12309316,1,1,,GHYZJFFJSPZRIU-OUUBHVDSSA-N,20,1,1
481,145944461,1,3,,GIBRZOCMRFRCOQ-UHFFFAOYSA-M,13,1,1
482,,1,,,,,,
483,811594,1,2,,GIGFIWJRTMBSRP-NJDAHSKKSA-N,25,3,1
484,579873,1,10,,GIGFIWJRTMBSRP-UHFFFAOYSA-N,25,3,1
485,,1,,,,,,
486,154824255,1,10,,GJAXTHSJTDLRTP-YTHUXUQLSA-N,22,0,1
487,282064,1,2,,GJCRWEAWEDESNZ-UHFFFAOYSA-N,12,2,1
488,101712792,1,10,,GJJXGBLNXDIHIQ-OALUTQOASA-N,30,4,1
489,313279,1,0,,GKBHKNPLNHLYHT-UHFFFAOYSA-N,29,6,1
490,25244188,1,10,,GKGSHNPKQBMHTD-AFJQJTPPSA-N,24,13,1
491,122499647,1,10,,GKTIQUKUVQNTCD-UHFFFAOYSA-N,17,3,1
492,60606,1,10,,GKTWGGQPFAXNFI-HNNXBMFYSA-N,21,4,1
493,9984208,1,5,,GLVMTITYOKYZRQ-JSVBYLJXSA-N,38,4,1
494,9863281,1,10,,GLWYBXPXOSKQAW-OALUTQOASA-N,26,4,1
495,5598,1,10,,GLWYBXPXOSKQAW-UHFFFAOYSA-N,26,4,1
496,637566,1,10,,GLZPCOQZEFWAFX-JXMROGBWSA-N,11,4,1
497,4458,1,10,,GLZPCOQZEFWAFX-UHFFFAOYSA-N,11,4,1
498,643820,1,10,,GLZPCOQZEFWAFX-YFHOEESVSA-N,11,4,1
499,134259610,1,10,,GMAMTMAUZGULRP-UHFFFAOYSA-N,22,4,1
500,122499511,1,10,,GMDVDXGAXJANQT-UHFFFAOYSA-N,18,4,1
501,5280453,1,10,,GMRQFYUYWCNGIN-NKMMMXOESA-N,30,6,1
502,9963516,1,10,,GMRQFYUYWCNGIN-QWVHEKJESA-N,30,6,1
503,5280723,1,10,,GMVPRGQOIOIIMI-DWKJAMRDSA-N,25,13,1
504,82390334,1,10,,GONTUMFRHQCIHY-UHFFFAOYSA-N,17,3,1
505,122499552,1,10,,GPITXNSSQJVLOQ-UHFFFAOYSA-N,20,4,1
506,163109075,1,1,,GPKKQOCGOSXOTO-YKJXLWGOSA-N,22,0,1
