substrate_index,n_pos,n_neg,auc,pos_logit_mean,neg_logit_mean,score_gap
354,1,9,0.0,-4.761027,-3.290901911111111,-1.4701250888888895
356,1,10,0.0,-3.8865907,-1.854745603,-2.031845097
357,1,9,0.11111111111111116,-1.207866,-0.7639817511111111,-0.443884248888889
358,1,9,0.33333333333333337,-3.10106,-2.5266209777777777,-0.5744390222222222
359,1,9,0.33333333333333337,-3.8539658,-3.5644715444444444,-0.28949425555555575
360,1,10,0.19999999999999996,-3.7952495,-2.9346276199999997,-0.8606218800000005
361,1,9,0.11111111111111116,-5.2058163,-4.322570855555555,-0.8832454444444453
362,1,10,1.0,0.14779359,-2.6152376110000004,2.7630312010000004
363,1,9,0.5555555555555556,-3.520565,-3.560811522222222,0.040246522222222136
364,1,9,0.33333333333333337,-4.610084,-4.162781244444444,-0.44730275555555554
365,1,10,0.0,-2.874014,-1.6949769499999998,-1.17903705
366,1,9,0.11111111111111116,-5.113715,-3.3137684,-1.7999466000000002
367,1,9,0.2222222222222222,-2.4137297,-1.8710708488888887,-0.5426588511111115
368,1,9,0.5555555555555556,-3.4518888,-3.9436125666666664,0.4917237666666665
370,1,9,0.2222222222222222,-4.3489947,-2.5907317055555557,-1.7582629944444448
374,1,9,0.0,-2.77149,-0.7946332718888889,-1.9768567281111111
375,1,11,0.8181818181818181,-6.133402,-7.155368309090909,1.0219663090909084
376,1,9,0.7777777777777778,-0.55810106,-1.1795660666666665,0.6214650066666665
377,1,9,0.33333333333333337,-5.339863,-3.9663470177777773,-1.373515982222223
380,1,9,0.7777777777777778,-0.38520604,-1.5133249333333336,1.1281188933333337
381,1,9,0.7777777777777778,-6.026374,-8.104873655555556,2.0784996555555564
386,1,9,1.0,-1.495729,-5.8557154111111105,4.359986411111111
390,1,10,0.9,0.26005775,-2.5107228139999997,2.770780564
391,1,9,0.8888888888888888,-1.4163373,-3.6207555555555553,2.2044182555555554
392,1,11,0.5454545454545454,-1.6262472,-2.6633961709090905,1.0371489709090906
393,1,9,0.33333333333333337,-2.5343406,-1.7556246033333334,-0.7787159966666668
394,1,9,1.0,-1.6737738,-5.632436800000001,3.9586630000000005
395,1,10,0.4,-4.9063406,-3.1423015370000003,-1.7640390629999998
396,1,9,0.6666666666666667,-1.7864418,-3.1257119282222217,1.3392701282222217
412,1,9,0.33333333333333337,-0.5216307,-0.23269365222222227,-0.28893704777777773
413,1,9,0.33333333333333337,-5.134639,-5.306619444444444,0.17198044444444438
414,1,9,0.6666666666666667,-5.5283995,-6.989177255555556,1.4607777555555561
415,1,9,0.8888888888888888,-3.965584,-6.057876155555555,2.092292155555555
416,1,9,1.0,-0.05546087,-2.781257594444444,2.725796724444444
417,1,9,0.7777777777777778,-0.15018578,-0.41686779,0.26668201
418,1,8,0.125,-3.154688,-2.0829152012499996,-1.0717727987500005
421,1,9,0.7777777777777778,-1.51051,-3.20735544,1.6968454400000001
425,1,10,0.5,-7.5617113,-8.311451700000001,0.7497404000000012
426,1,9,0.0,-2.2452488,-1.1687556444444445,-1.0764931555555557
427,1,9,0.11111111111111116,-7.1390333,-3.309375066666666,-3.829658233333334
428,1,9,0.11111111111111116,-3.8058317,-2.1631185000000004,-1.6427131999999998
430,1,9,1.0,-0.8260938,-2.4289316666666667,1.6028378666666667
432,1,9,0.6666666666666667,3.2535164,2.5300174066666665,0.7234989933333336
433,1,9,0.7777777777777778,-1.9240205,-3.7128323555555562,1.7888118555555563
434,1,9,0.6666666666666667,-6.4995236,-7.6467852,1.1472616000000002
435,1,9,1.0,3.5453095,-2.6674310833333332,6.212740583333334
