doi,pmid,title,cyps_affected,cyp_names,url
https://doi.org/10.1515/BC.2000.095,11030432,1. Biol Chem. 2000 Aug;381(8):749-53. doi: 10.1515/BC.2000.095.,1,CYP75B1,https://doi.org/10.1515/BC.2000.095
https://doi.org/10.1007/s00299-009-0695-1,19301010,1. Plant Cell Rep. 2009 Jun;28(6):963-74. doi: 10.1007/s00299-009-0695-1. Epub 2009  Mar 20.,1,CYP98A49,https://doi.org/10.1007/s00299-009-0695-1
https://doi.org/10.1016/j.xplc.2020.100079,33511341,1. Plant Commun. 2020 Jun 2;2(1):100079. doi: 10.1016/j.xplc.2020.100079. eCollection 2021 Jan 11.,1,CYP94D144,https://doi.org/10.1016/j.xplc.2020.100079
https://doi.org/10.1074/jbc.M703344200,17872948,1. J Biol Chem. 2007 Nov 23;282(47):34013-8. doi: 10.1074/jbc.M703344200. Epub 2007  Sep 14.,1,CYP99A2,https://doi.org/10.1074/jbc.M703344200
https://doi.org/10.1093/jxb/eri073,15689343,1. J Exp Bot. 2005 Mar;56(413):833-40. doi: 10.1093/jxb/eri073. Epub 2005 Feb 2.,1,CYP72C1,https://doi.org/10.1093/jxb/eri073
https://doi.org/10.1093/pcp/pcr150,22039120,1. Plant Cell Physiol. 2011 Dec;52(12):2062-73. doi: 10.1093/pcp/pcr150. Epub 2011  Oct 29.,1,CYP716U1,https://doi.org/10.1093/pcp/pcr150
https://doi.org/10.1111/j.1365-313X.2005.02357.x,15773850,1. Plant J. 2005 Apr;42(1):13-22. doi: 10.1111/j.1365-313X.2005.02357.x.,1,CYP72C1,https://doi.org/10.1111/j.1365-313X.2005.02357.x
https://doi.org/10.1111/j.1365-313X.2005.02358.x,15773851,1. Plant J. 2005 Apr;42(1):23-34. doi: 10.1111/j.1365-313X.2005.02358.x.,1,CYP72C1,https://doi.org/10.1111/j.1365-313X.2005.02358.x
https://doi.org/10.1111/j.1365-313X.2006.02843.x,16899083,1. Plant J. 2006 Sep;47(6):883-96. doi: 10.1111/j.1365-313X.2006.02843.x. Epub 2006  Aug 8.,1,CYP74A6v1,https://doi.org/10.1111/j.1365-313X.2006.02843.x
https://doi.org/10.1111/j.1365-313X.2011.04685.x,21707799,1. Plant J. 2011 Oct;68(2):273-86. doi: 10.1111/j.1365-313X.2011.04685.x. Epub 2011  Jul 26.,1,CYP736A2,https://doi.org/10.1111/j.1365-313X.2011.04685.x
https://doi.org/10.1126/science.1240230,23788733,1. Science. 2013 Jul 12;341(6142):175-9. doi: 10.1126/science.1240230. Epub 2013 Jun 20.,1,CYP72A186,https://doi.org/10.1126/science.1240230
