cyp_id,kingdom,reason,num_pairs_lost
CYP71U5,Viridiplantae,no_smiles,1
CYP71Z2,Viridiplantae,no_smiles,1
CYP71Z21,Viridiplantae,no_smiles,1
CYP71Z7,Viridiplantae,no_smiles,1
CYP720B1,Viridiplantae,no_smiles,1
CYP720B12,Viridiplantae,no_substrate,0
CYP720B12Pc,Viridiplantae,no_smiles,2
CYP720B2,Viridiplantae,class_only,0
CYP720B4,Viridiplantae,no_substrate,0
CYP725A5,Viridiplantae,class_only,0
CYP725A500,Viridiplantae,no_smiles,1
CYP725A6,Viridiplantae,class_only,0
CYP726A16,Viridiplantae,no_smiles,1
CYP72A188,Viridiplantae,class_only,0
CYP72A208,Viridiplantae,class_only,0
CYP72A224,Viridiplantae,no_smiles,1
CYP72A475,Viridiplantae,class_only,0
CYP72A552,Viridiplantae,no_substrate,0
CYP72A61,Viridiplantae,no_smiles,1
CYP72A68,Viridiplantae,no_smiles,1
CYP734A1,Viridiplantae,class_only,0
CYP734A2,Viridiplantae,no_smiles,1
CYP734A4,Viridiplantae,no_substrate,0
CYP734A6,Viridiplantae,no_smiles,1
CYP735A1,Viridiplantae,class_only,0
CYP736A167,Viridiplantae,no_smiles,1
CYP73A33,Viridiplantae,no_smiles,1
CYP74A2,Viridiplantae,no_smiles,1
CYP74A4,Viridiplantae,gene_only,0
CYP74B2,Viridiplantae,no_smiles,1
CYP74B300,Viridiplantae,class_only,0
CYP75A1,Viridiplantae,class_only,0
CYP75A109,Viridiplantae,no_substrate,0
CYP75A110,Viridiplantae,no_smiles,1
CYP75A2,Viridiplantae,class_only,0
CYP75A3,Viridiplantae,class_only,0
CYP75A4,Viridiplantae,class_only,0
CYP75A500,Viridiplantae,class_only,0
CYP75A6,Viridiplantae,class_only,0
CYP75A7,Viridiplantae,class_only,0
CYP75B1,Viridiplantae,class_only,0
CYP75B2,Viridiplantae,class_only,0
CYP75B3,Viridiplantae,class_only,0
CYP75B500,Viridiplantae,class_only,0
CYP75B81,Viridiplantae,class_only,0
CYP76A2L,Viridiplantae,class_only,0
CYP76AE2,Viridiplantae,no_smiles,1
CYP76AE4,Viridiplantae,no_smiles,1
CYP76AH1,Viridiplantae,no_substrate,0
CYP76AH17,Viridiplantae,no_smiles,1
CYP76AH23,Viridiplantae,no_substrate,0
CYP76AH3,Viridiplantae,no_substrate,0
CYP76AH39,Viridiplantae,no_smiles,1
CYP76AH4,Viridiplantae,no_substrate,0
CYP76AH68,Viridiplantae,no_smiles,1
CYP76AH8,Viridiplantae,no_smiles,1
CYP76B6,Viridiplantae,no_smiles,1
CYP76BK1,Viridiplantae,class_only,0
CYP76F39,Viridiplantae,no_smiles,1
CYP76M7,Viridiplantae,no_smiles,1
CYP76M8,Viridiplantae,no_smiles,1
CYP77A4,Viridiplantae,class_only,0
CYP77A6,Viridiplantae,class_only,0
CYP77B1,Viridiplantae,class_only,0
CYP788A1,Viridiplantae,class_only,0
CYP78A5,Viridiplantae,class_only,0
CYP78A7,Viridiplantae,class_only,0
CYP79A125,Viridiplantae,no_smiles,1
CYP79B2,Viridiplantae,no_substrate,0
CYP79D16,Viridiplantae,no_smiles,1
CYP79D3,Viridiplantae,no_substrate,0
