compound_id,smiles,name
203,C[C@@]12CC[C@H](O[C@H]1CC[C@]3([C@H]2CC[C@@H]4[C@@]3(C5=C(C4)C6=CC=CC=C6N5)C)C)C(C)(C)O,paspaline
204,CC(=CCOC(C)(C)[C@@H]1[C@H]([C@@H]2[C@@]3(O2)[C@@H](O1)CC[C@]4([C@]3(CC[C@@H]5[C@@]4(C6=C(C5)C7=C(N6)C=CC8=C7C[C@@H]9[C@@H](C8=O)C(OC9(C)C)(C)C)C)O)C)O)C,lolitrem E
205,CC(=CCOC(C)(C)[C@@H]1[C@H]([C@@H]2[C@@]3(O2)[C@@H](O1)CC[C@]4([C@]3(CC[C@@H]5[C@@]4(C6=C(C5)C7=CC=CC=C7N6)C)O)C)O)C,terpendole J
206,C[C@@H]1CC[C@@H]2[C@@H]1C[C@@]3(CCC(=C3CCC2=C)C(C)C)C,cycloaraneosene
207,C[C@H]/1C/C=C/[C@H]2C=C([C@H]([C@@H]3C2(C(=O)/C=C/CC/C(=C1)/C)C(=O)N[C@H]3CC4=CNC5=CC=CC=C54)C)C,prochaetoglobosin I
208,CC1CCC\2C1CC(C/C2=C(/C)\CO[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)C)(C)C,brasilane A
209,CC12C(C=CC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O,Gibberellin
210,C[C@@H]1CCC(=O)[C@@H]([C@@]1(C)CC/C(=C/CC2=C(C(=C(C(=C2O)Cl)C)C=O)O)/C)C,Ilicicolin C
211,C[C@H]1[C@H]([C@@H]2[C@@H](O2)C3=CC(=O)[C@@]4(C[C@]13C)C(O4)(C)C)OC(=O)C,Eremofortin A
212,C[C@H]1CC[C@]23[C@H](CC[C@H]2[C@@]3([C@@]4([C@@H]1C[C@]5(CC[C@@H]([C@@H]5C4)C(C)C)C)O)C)C,preaspterpenacid acid I
213,CC1=CC(=CC2=C1C(=CC(=O)O2)OC)O,7-demethylsiderin
214,CC(=CC1C2=C3C(=CNC3=CC=C2)CCN1)C,aurantioclavine
215,C1CCC2CCCCC2C1,decalin
216,C[C@@H]1CC[C@]23[C@H]1CC[C@]2(C(=C4[C@@H]3C[C@@H]5[C@@H](CC[C@]5(C4)C(=O)O)C(C)C)C)C,Quiannulatic acid
217,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@H](C3)C(=C)C4)(C)C(=O)[O-],ent-kaurenoate
