Substrate_Index,Substrate_SMILES
247,CCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)O
248,CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)O
249,COc1ccc(CNc2ccc(Cc3ccncc3)cc2)cc1
250,CCOC(=O)c1cc2cc(-c3ccncc3)ccc2[nH]1
251,O=S(=O)(Nc1ccc(Cc2ccncc2)cc1)c1ccccc1
252,NCc1nc(-c2ccccc2)no1
253,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
254,Nc1ccc(Sc2ccc(N3C(=O)c4ccc(N)cc4C3=O)cc2)cc1
255,Cc1cccc(-n2cnc3cc(N)ccc32)c1
256,COc1ccc(-c2noc(CN(C(=O)Cc3ccc([N+](=O)[O-])cc3)C(C)C)n2)cc1
257,O=C(NCCCn1ccnc1)NC12CC3CC(CC(C3)C1)C2
258,CC1CCC(C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccncc2)CC1
259,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
260,Clc1ccc(CO[C@H](Cc2c[nH]cn2)c2ccc(Cl)cc2Cl)cc1
261,CCOC(=O)c1cc2cc(-c3ccncc3)ccc2n1CC1CCCCC1
262,CCOC(=O)c1cc2cc(-c3ccncc3)ccc2n1CC1CCCC1
263,CCOC(=O)c1cc2cc(-c3ccncc3)ccc2n1CCC1CCNCC1
264,NCc1ccc(-c2csnn2)cc1
265,c1cc(-c2ccc3c(ccn3CCN3CCNCC3)c2)ccn1
266,O=C(NCCN1CCOCC1)c1ccc(Cc2ccncc2)cc1
267,CCOC(=O)c1cc2cc(-c3ccncc3)ccc2n1CCN1CCOCC1
268,COc1ccc(-c2ccncc2)cc1
269,COC(=O)c1cccc(-c2ccncc2)c1
270,NC(=O)c1cc2cc(-c3ccncc3)ccc2n1CCN1CCNCC1
271,CCCC(=O)c1cc2cc(-c3ccncc3)ccc2n1CCC1CCNCC1
272,O=C(NCc1ccc2[nH]ccc2c1)c1cccc(Nc2ccncc2)c1
273,CC(C)CCC[C@H](C)CCC[C@H](C)CCC[C@@H](C)CC(=O)O
274,C=C1CC[C@H](O)CC1=CC=C1CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
275,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
276,CC(C)=CCC/C(C)=C\CNCCNC1C2CC3CC(C2)CC1C3
277,Cc1cc(CCC(C)C)ccc1NCNO
278,CCOC(=O)CCCCCCn1ccnc1
279,Ic1cn[nH]c1
280,Nc1ccc2nccc(-n3cncn3)c2c1
281,Oc1ccc(-c2cnnn2-c2ccc(O)cc2)cc1
282,Nc1cccc(Cn2cncn2)c1
283,Cc1ccc2cc(N)ccc2n1
284,O=C(O)c1coc2c1C(=O)CCC2
285,Oc1ccc(-n2cncn2)cc1
286,Oc1ccc(-c2n[nH]cc2Oc2ccccc2)c(O)c1
287,O=C1N[C@@H](Cc2ccc(O)cc2)CN[C@H]1Cc1ccc(O)cc1
288,COc1ccc(-c2n[nH]c(N)c2-c2cccc(-c3cccc(N)c3)c2)cc1
289,Nc1cccc(-c2cccc(-c3c(-c4ccc(O)cc4)n[nH]c3N)c2)c1
290,Nc1cccc(-c2cccc(-c3cn[nH]c3N)c2)c1
291,Nc1cccc(-c2cc(-c3c(-c4ccc(O)cc4)n[nH]c3N)ccc2O)c1
292,Oc1ccc(-c2n[nH]c(NCc3c[nH]cn3)c2-c2ccc(O)cc2)cc1
293,Oc1ccc(CNc2[nH]nc(-c3ccc(O)cc3)c2-c2ccc(O)cc2)cc1
294,Oc1ccc(Nc2cc(-c3ccc(O)cc3)n[nH]2)cc1
295,O=C1CN(CCCn2ccnc2)CCN1Cc1ccc(Cl)cc1
296,O=C1CN(CCCn2ccnc2)CCN1Cc1ccc(F)cc1
297,COc1ccc(-c2nn(-c3ccccc3)cc2Cn2ccnc2)cc1
298,Fc1ccc(-c2nn(-c3ccccc3)cc2Cn2ccnc2)cc1
299,Clc1[nH]c2ccccc2c1-c1nn(-c2ccccc2)cc1Cn1ccnc1
300,O=C(NCc1ccncc1)c1cn(-c2ccccc2)nc1-c1ccncc1
301,Cc1cc(C[C@@H]2NC(=O)[C@H](Cc3ccc(O)cc3)NC2=O)ccc1O
