Substrate_Index,Substrate_SMILES,status,reason,num_atoms
135,O=C1C2CC3CC(C2)CC1C3,ok,OK,11
136,CC12CCC(CC1)C2(C)C,ok,OK,10
137,CC1(C)[C@H]2CC(=O)[C@]1(C)C[C@H]2O,ok,OK,12
138,O=C1C[C@H]2CC[C@@H]1C2,ok,OK,8
139,CC1(C)[C@@H]2CC[C@@]1(C)C(=S)C2,ok,OK,11
140,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,ok,OK,21
141,CC(C)=CCC/C(C)=C/COc1c2ccoc2cc2oc(=O)ccc12,ok,OK,25
142,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,ok,OK,29
143,COc1ccc2[nH]c(C(=O)N3C[C@@H](CCl)c4c3ccc3[nH]ccc43)cc2c1,ok,OK,27
144,CC(C)CC[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,ok,OK,29
145,CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,ok,OK,30
146,CC(C)CCC[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,ok,OK,29
147,Cc1cn[nH]c1,ok,OK,6
