reaction_id,enzyme_id,compound_id,substrate_smiles,product_smiles,pmids
P450R2711,463,975,O=C(O)C(N)CC1=CNC=2C=CC(OC)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(OC)C(=C21)N(=O)=O,
P450R2458,463,236,O=C(O)C(N)CC1=CNC=2C=CC(SC)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(SC)C(=C21)N(=O)=O,
P450R2743,463,236,O=C(O)C(N)CC1=CNC=2C=CC(SC)=CC21,O=C(O)C(N)CC1=CNC2=CC=C(SC)C(=C21)N(=O)=O,
P450R2709,463,976,O=C(O)C(N)CC1=CNC=2C=CC=C(Br)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(Br)C21)N(=O)=O,
P450R2724,463,976,O=C(O)C(N)CC1=CNC=2C=CC=C(Br)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(Br)C21)N(=O)=O,
P450R2400,463,237,O=C(O)C(N)CC1=CNC=2C=CC=C(C#C)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(C#C)C21)N(=O)=O,
P450R2448,463,237,O=C(O)C(N)CC1=CNC=2C=CC=C(C#C)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(C#C)C21)N(=O)=O,
P450R2398,463,238,O=C(O)C(N)CC1=CNC=2C=CC=C(C=C)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(C=C)C12)N(=O)=O,
P450R2444,463,238,O=C(O)C(N)CC1=CNC=2C=CC=C(C=C)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(C=C)C12)N(=O)=O,
P450R2722,463,977,O=C(O)C(N)CC1=CNC=2C=CC=C(Cl)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(Cl)C21)N(=O)=O,
P450R2708,463,978,O=C(O)C(N)CC1=CNC=2C=CC=C(F)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(F)C21)N(=O)=O,
P450R2424,463,239,O=C(O)C(N)CC1=CNC=2C=CC=C(N)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(N)C21)N(=O)=O,
P450R2728,463,239,O=C(O)C(N)CC1=CNC=2C=CC=C(N)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(N)C21)N(=O)=O,
P450R2707,463,979,O=C(O)C(N)CC1=CNC=2C=CC=C(O)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(O)C21)N(=O)=O,
P450R2654,463,980,O=C(O)C(N)CC1=CNC=2C=CC=C(OC)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(OC)C21)N(=O)=O,
P450R2718,463,980,O=C(O)C(N)CC1=CNC=2C=CC=C(OC)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(OC)C21)N(=O)=O,
P450R2414,463,240,O=C(O)C(N)CC1=CNC=2C=CC=C(SC)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(SC)C21)N(=O)=O,
P450R2464,463,240,O=C(O)C(N)CC1=CNC=2C=CC=C(SC)C21,O=C(O)C(N)CC1=CNC=2C(=CC=C(SC)C21)N(=O)=O,
P450R2733,463,981,O=C(O)C(N)CC1=CNC=2N=CC=CC21,O=C(O)C(N)CC1=CNC2=CC=C(Br)C(=C21)N(=O)=O,
P450R2560,463,243,O=C(O)C(N)CC=1C2=CC(=CC=C2NC1C)C=3C=CC=CC3,O=C(O)C(N)CC=1C=2C(=CC=C(C=3C=CC=CC3)C2N(=O)=O)NC1C,
P450R2608,463,244,O=C(O)C(N)CC=1C2=CC(=CC=C2NC1C)C=3C=CN=CC3,O=C(O)C(N)CC=1C=2C(=CC=C(C=3C=CN=CC3)C2N(=O)=O)NC1C,
P450R2574,463,247,O=C(O)C(N)CC=1C=2C(=CC=CC2C3CC3)NC1C,O=C(O)C(N)CC=1C=2C(NC1C)=C(C=CC2C3CC3)N(=O)=O,
P450R2566,463,248,O=C(O)C(N)CC=1C=2C(=CC=CC2C=3C=CC=CC3)NC1C,O=C(O)C(N)CC=1C=2C(=CC=C(C2NC1C)N(=O)=O)C=3C=CC=CC3,
P450R2614,463,249,O=C(O)C(N)CC=1C=2C(=CC=CC2C=3C=CN=CC3)NC1C,O=C(O)C(N)CC=1C=2C(=CC=C(C2NC1C)N(=O)=O)C=3C=CN=CC3,
P450R2598,463,252,O=C(O)C(N)CC=1C=2C(=CC=CC2N3CCOCC3)NC1C,O=C(O)C(N)CC=1C=2C(NC1C)=C(C=CC2N3CCOCC3)N(=O)=O,
P450R2544,463,254,O=C(O)C(N)CC=1C=2C(Br)=CC=CC2NC1C,O=C(O)C(N)CC=1C=2C(Br)=CC=C(C2NC1C)N(=O)=O,
P450R2642,463,255,O=C(O)C(N)CC=1C=2C(C#C)=CC=CC2N(C1C)C,O=C(O)C(N)CC=1C=2C(C#C)=CC=C(C2N(C1C)C)N(=O)=O,
P450R2590,463,256,O=C(O)C(N)CC=1C=2C(C#C)=CC=CC2NC1C,O=C(O)C(N)CC=1C=2C(C#C)=CC=C(C2NC1C)N(=O)=O,
P450R2634,463,257,O=C(O)C(N)CC=1C=2C(C=C)=CC=CC2N(C1C)C,O=C(O)C(N)CC=1C=2C(C=C)=CC=C(C2N(C1C)C)N(=O)=O,
P450R2582,463,258,O=C(O)C(N)CC=1C=2C(C=C)=CC=CC2NC1C,O=C(O)C(N)CC=1C=2C(C=C)=CC=C(C2NC1C)N(=O)=O,
P450R2518,463,260,O=C(O)C(N)CC=1C=2C(Cl)=CC=CC2NC1C,O=C(O)C(N)CC=1C=2C(Cl)=CC=C(C2NC1C)N(=O)=O,
P450R2558,463,263,O=C(O)C(N)CC=1C=2C(N)=CC=CC2NC1C,O=C(O)C(N)CC=1C=2C(N)=CC=C(C2NC1C)N(=O)=O,
P450R2550,463,266,O=C(O)C(N)CC=1C=2C(OC)=CC=CC2NC1C,O=C(O)C(N)CC=1C=2C(OC)=CC=C(C2NC1C)N(=O)=O,
P450R2606,463,268,O=C(O)C(N)CC=1C=2C(SC)=CC=CC2NC1C,O=C(O)C(N)CC=1C=2C(SC)=CC=C(C2NC1C)N(=O)=O,
P450R2636,463,270,O=C(O)C(N)CC=1C=2C=C(C#C)C=CC2N(C1C)C,O=C(O)C(N)CC=1C=2C(=CC=C(C#C)C2N(=O)=O)N(C1C)C,
P450R2584,463,271,O=C(O)C(N)CC=1C=2C=C(C#C)C=CC2NC1C,O=C(O)C(N)CC=1C=2C(=CC=C(C#C)C2N(=O)=O)NC1C,
P450R2628,463,272,O=C(O)C(N)CC=1C=2C=C(C=C)C=CC2N(C1C)C,O=C(O)C(N)CC=1C=2C(=CC=C(C=C)C2N(=O)=O)N(C1C)C,
P450R2576,463,273,O=C(O)C(N)CC=1C=2C=C(C=C)C=CC2NC1C,O=C(O)C(N)CC=1C=2C(=CC=C(C=C)C2N(=O)=O)NC1C,
P450R2568,463,277,O=C(O)C(N)CC=1C=2C=C(C=CC2NC1C)C3CC3,O=C(O)C(N)CC=1C=2C(=CC=C(C2N(=O)=O)C3CC3)NC1C,
