compound_id,smiles,name
113,C[C@]1(CC[C@@H]2C(=C1)CC[C@H]3[C@]2(CCCC3(C)C)C)C=C,ent-sandaracopimaradiene
114,C[C@]1(CC[C@@H]2C(=C1)CC[C@H]3[C@]2(CC[C@H](C3(C)C)O)C)C=C,3alpha-hydroxy-ent-sandaracopimaradiene
115,CC(C)[C@]12CCC(=C)[C@H]1C2,(+)-sabinene
116,CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,farnesene
117,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,L-tyrosine
118,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,L-DOPA
119,C/C/1=C\CC/C(=C/[C@@H]([C@H](CC1)C(C)C)O)/C,epikunzeaol
120,CC(C)C1=CCC2=C(C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C,miltiradiene
121,CC(C)C1=CC2=C(C=C1)[C@]3(CCCC([C@@H]3CC2)(C)C)C,abietatriene
122,CC(C)C1=C(C=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C)O,ferruginol
123,C[C@@]1(CC[C@@H]2[C@]3(CCCC([C@@H]3CC[C@]2(O1)C)(C)C)C)C=C,13R-manoyl oxide
124,C[C@@H]1CC[C@@]2([C@@H]([C@@]1(C)CC/C(=C/CO)/C)CCC=C2C)C,kolavenol
125,CC(C)C1=C(C(=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C)O)O,11-hydroxyferruginol
126,CC(C)C1=C(C(=C2C(=C1)C(=O)C[C@@H]3[C@@]2(CCCC3(C)C)C)O)O,11-hydroxysugiol
127,C[C@@H]1CC[C@@H]2[C@@]([C@]1(CC/C(=C/CO)/C)O)(CCCC2(C)C)C,peregrinol
128,CCCCCCCC/C=C\CCCCCCCC(=O)O,oleic acid
129,CCCCCCCCCCCC(=O)O,lauric acid
130,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,L-phenylalanine
131,CC(C)C[C@@H](C(=O)O)N,L-leucine
132,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,L-tryptophan
133,CC(C)[C@@H](C(=O)O)N,L-valine
134,CC[C@H](C)[C@@H](C(=O)O)N,L-isoleucine
135,CC(C)CCCC(C(=O)O)N,dihomoleucine
136,CSCCCCC(C(=O)O)N,dihomomethionine
137,CSCCCCCC(C(=O)O)N,trihomomethionine
138,CSCCC[C@@H](C(=O)O)N,monohomomethionine
139,CSCCCCCCC(C(=O)O)N,tetrahomomethionine
140,CSCCCCCCCC(C(=O)O)N,pentahomomethionine
141,CSCCCCCCCCC(C(=O)O)N,hexahomomethionine
142,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)O)OC,(R)-N-methylcoclaurine
143,C[NH+]1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@@H](CC3=CC=CC=C3)O,(R)-littorine
144,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC(=C(C=C3)OC)O)O)OC,(S)-reticuline
145,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)CC2=CC=CC=C2C(=O)OC)OC,bensulfuron-methyl
146,CN(C)C(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,nicosulfuron
147,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,penoxsulam
148,CC1(CON(C1=O)CC2=CC=CC=C2Cl)C,clomazone
149,CCCCCCCCCC(=O)O,capric acid (C10:0)
150,CCCCCCCCCCCCCC(=O)O,myristic acid (C14:0)
151,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,daidzein
152,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,formononetin
153,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,genistein
154,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,biochanin A
155,C1OC2=C(O1)C=C(C=C2)C3=COC4=C(C3=O)C=CC(=C4)O,pseudobaptigenin
156,COC1=CC(=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O,2'-hydroxyformononetin
157,I[I-]I,indole-3-yl-methyl glucosinolate (I3M)
158,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC)O,(+)-pinoresinol
159,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC5=C(C=C4)OCO5)O,(+)-piperitol
160,COC1=C(C=CC(=C1)[C@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC)O,(+)-epipinoresinol
161,C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2O)O)O,"2,4,6-trihydroxybenzophenone"
162,C1=CC(=CC(=C1)O)C(=O)C2=C(C=C(C=C2O)O)O,"2,3',4,6-tetrahydroxybenzophenone"
