Dock_Index,success,error,protein_atoms,n_atom,n_hetatm,n_heme_atoms,n_fe_atoms
71,True,,78,78,0,0,0
72,True,,76,76,0,0,0
73,True,,99,99,0,0,0
74,True,,96,96,0,0,0
75,True,,108,108,0,0,0
76,True,,115,115,0,0,0
77,True,,113,113,0,0,0
78,True,,109,109,0,0,0
79,True,,172,172,0,0,0
80,True,,85,85,0,0,0
81,True,,95,95,0,0,0
82,True,,144,144,0,0,0
83,True,,94,94,0,0,0
84,True,,83,83,0,0,0
85,True,,80,80,0,0,0
86,True,,98,98,0,0,0
87,True,,108,108,0,0,0
88,True,,89,89,0,0,0
89,True,,134,134,0,0,0
90,True,,101,101,0,0,0
91,True,,103,103,0,0,0
92,True,,114,114,0,0,0
93,True,,137,137,0,0,0
94,True,,103,103,0,0,0
95,True,,71,71,0,0,0
96,True,,72,72,0,0,0
97,True,,135,135,0,0,0
98,True,,70,70,0,0,0
99,True,,113,113,0,0,0
100,True,,92,92,0,0,0
101,True,,79,79,0,0,0
102,True,,77,77,0,0,0
103,True,,138,138,0,0,0
104,True,,139,139,0,0,0
105,True,,123,123,0,0,0
106,True,,88,88,0,0,0
107,True,,146,146,0,0,0
109,True,,92,92,0,0,0
110,True,,90,90,0,0,0
112,True,,54,54,0,0,0
113,True,,128,128,0,0,0
114,True,,107,107,0,0,0
115,True,,118,118,0,0,0
116,True,,54,54,0,0,0
117,True,,89,89,0,0,0
118,True,,105,105,0,0,0
119,True,,121,121,0,0,0
120,True,,61,61,0,0,0
121,True,,108,108,0,0,0
122,True,,114,114,0,0,0
123,True,,133,133,0,0,0
124,True,,112,112,0,0,0
125,True,,91,91,0,0,0
126,True,,137,137,0,0,0
127,True,,138,138,0,0,0
128,True,,88,88,0,0,0
129,True,,78,78,0,0,0
130,True,,133,133,0,0,0
131,True,,138,138,0,0,0
132,True,,99,99,0,0,0
133,True,,127,127,0,0,0
134,True,,87,87,0,0,0
135,True,,58,58,0,0,0
136,True,,65,65,0,0,0
137,True,,90,90,0,0,0
138,True,,91,91,0,0,0
139,True,,74,74,0,0,0
140,True,,106,106,0,0,0
141,True,,83,83,0,0,0
142,True,,100,100,0,0,0
143,True,,113,113,0,0,0
144,True,,109,109,0,0,0
145,True,,73,73,0,0,0
146,True,,33,33,0,0,0
147,True,,41,41,0,0,0
148,True,,58,58,0,0,0
149,True,,52,52,0,0,0
150,True,,66,66,0,0,0
152,True,,54,54,0,0,0
153,True,,70,70,0,0,0
154,True,,63,63,0,0,0
155,True,,89,89,0,0,0
156,True,,68,68,0,0,0
157,True,,36,36,0,0,0
158,True,,51,51,0,0,0
159,True,,58,58,0,0,0
160,True,,55,55,0,0,0
161,True,,57,57,0,0,0
162,True,,58,58,0,0,0
163,True,,49,49,0,0,0
164,True,,59,59,0,0,0
165,True,,99,99,0,0,0
166,True,,162,162,0,0,0
167,True,,174,174,0,0,0
168,True,,155,155,0,0,0
169,True,,119,119,0,0,0
170,True,,117,117,0,0,0
171,True,,116,116,0,0,0
172,True,,119,119,0,0,0
173,True,,105,105,0,0,0
174,True,,36,36,0,0,0
175,True,,48,48,0,0,0
176,True,,112,112,0,0,0
177,True,,93,93,0,0,0
178,True,,80,80,0,0,0
179,True,,103,103,0,0,0
180,True,,64,64,0,0,0
181,True,,70,70,0,0,0
182,True,,65,65,0,0,0
183,True,,84,84,0,0,0
184,True,,161,161,0,0,0
185,True,,143,143,0,0,0
186,True,,173,173,0,0,0
187,True,,132,132,0,0,0
188,True,,89,89,0,0,0
189,True,,170,170,0,0,0
190,True,,135,135,0,0,0
191,True,,136,136,0,0,0
193,True,,97,97,0,0,0
194,True,,187,187,0,0,0
195,True,,86,86,0,0,0
196,True,,142,142,0,0,0
197,True,,122,122,0,0,0
198,True,,129,129,0,0,0
199,True,,113,113,0,0,0
200,True,,88,88,0,0,0
201,True,,111,111,0,0,0
202,True,,99,99,0,0,0
203,True,,110,110,0,0,0
204,True,,121,121,0,0,0
205,True,,120,120,0,0,0
206,True,,63,63,0,0,0
207,True,,82,82,0,0,0
208,True,,76,76,0,0,0
209,True,,75,75,0,0,0
210,True,,77,77,0,0,0
211,True,,79,79,0,0,0
212,True,,80,80,0,0,0
213,True,,80,80,0,0,0
214,True,,68,68,0,0,0
215,True,,64,64,0,0,0
216,True,,116,116,0,0,0
217,True,,84,84,0,0,0
218,True,,117,117,0,0,0
219,True,,92,92,0,0,0
220,True,,134,134,0,0,0
221,True,,121,121,0,0,0
222,True,,97,97,0,0,0
223,True,,132,132,0,0,0
