compound_id,smiles,name
106,CC(C)Cc1ccc([C@H](C)C(=O)N[C@@H](Cc2ccccc2)C(=O)O)cc1,
107,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCO)C(=O)O,
108,CCCCCCCCCCCC(=O)N[C@H]1CCOC1=O,
109,CCCCCCCCCCCCCCCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,
110,Cc1ccc(O)cc1,
111,CCc1ccccc1,
112,CCCc1ccccc1,
113,c1ccc2c(c1)CCC2,
114,O=C(O)CCCNc1ccncc1,
115,O=C(O)C1CCN(c2ccncc2)CC1,
116,CCCCCCCCCC(=O)N[C@H]1CCOC1=O,
117,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,
118,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,
119,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,
120,C=C1CC[C@@]2(C(C)C)C[C@@H]12,
121,CC1=CC[C@H]2[C@@H](C1)C2(C)C,
122,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](Br)C2,
123,CC1(C)[C@@H]2CC=C(CBr)[C@H]1C2,
124,C[C@@H]1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,
125,C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,
126,CC1=CC[C@@H](C(C)(C)O)CC1,
127,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,
128,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,
129,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)O,
130,CCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)O,
131,CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](O)C(C)(C)COP(=O)(O)O,
132,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,
133,CC(C)CCC[C@H](C)CCC[C@H](C)CCC[C@@H](C)CC(=O)O,
134,C=C1CC[C@H](O)CC1=CC=C1CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,
135,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,
